# 3. 搭建用户评价体系

language=zh
language_probability=1.000
model=tiny

[00:00:02.640 - 00:00:04.640] 我知道我會有朋友們大家好
[00:03:10.690 - 00:03:12.490] 展示聽是可以看到工業上的
[00:03:12.490 - 00:03:13.690] 全部評價
[00:03:13.690 - 00:03:14.690] 產品商業
[00:03:14.690 - 00:03:16.690] 僅僅只能看到這條產品
[00:03:16.690 - 00:03:21.260] 收到的評價
[00:03:21.260 - 00:03:22.660] 工業上如何查看
[00:03:22.660 - 00:03:24.460] 和管理自己的評價
[00:03:24.460 - 00:03:26.060] 如此賬戶的權限
[00:03:26.060 - 00:03:27.860] 又是怎麼樣的呢
[00:03:27.860 - 00:03:29.660] 工業上需要登陸到
[00:03:29.660 - 00:03:31.260] 自己的微車廢斯
[00:03:31.260 - 00:03:34.660] 商機評價管理去查看評價
[00:03:34.660 - 00:03:36.460] 如此賬戶的權限
[00:03:36.460 - 00:03:38.060] 也給大家放出來了
[00:03:38.060 - 00:03:39.660] 大家可以去參考
[00:03:39.660 - 00:03:40.860] 僅而言之
[00:03:40.860 - 00:03:41.260] 是按照
[00:03:41.260 - 00:03:42.860] 尋盤收拔規則
[00:03:42.860 - 00:03:45.860] 以及訂單所屬的規則來的
[00:03:45.860 - 00:03:47.860] 買家在哪些情況下
[00:03:47.860 - 00:03:49.060] 可以評價供應商
[00:03:49.060 - 00:03:50.860] 可以從哪些個微度評價
[00:03:50.860 - 00:03:52.060] 讓我們一起來看
[00:03:52.060 - 00:03:52.460] 一看
[00:03:52.460 - 00:03:56.520] 評價相關規則的解讀
[00:03:56.520 - 00:03:57.720] 買家可以對
[00:03:57.720 - 00:04:00.320] 不單和尋盤進行評價
[00:04:00.720 - 00:04:01.920] 以及完成的訂單
[00:04:01.920 - 00:04:03.720] 買家可以進行評價
[00:04:03.720 - 00:04:04.920] 買家發送
[00:04:04.920 - 00:04:05.920] 尋盤之後
[00:04:05.920 - 00:04:09.520] 也可以對發送的尋盤進行評價
[00:04:09.520 - 00:04:10.920] 尋盤的評價的微度
[00:04:10.920 - 00:04:12.720] 會相較於訂單
[00:04:12.720 - 00:04:13.920] 會跟少一些
[00:04:13.920 - 00:04:15.520] 它的微度主要有
[00:04:15.520 - 00:04:16.720] 總體評價
[00:04:16.720 - 00:04:17.520] 想一速度
[00:04:17.520 - 00:04:18.720] 和供應商服務
[00:04:18.720 - 00:04:20.920] 這三個微度
[00:04:20.920 - 00:04:22.720] 對尋盤的評價
[00:04:22.720 - 00:04:24.320] 主要是風味兩種情況
[00:04:24.320 - 00:04:25.120] 一個是
[00:04:25.120 - 00:04:26.720] 買家發送尋盤後
[00:04:26.720 - 00:04:28.720] 收到供應商的回覆
[00:04:28.720 - 00:04:29.220] 這實
[00:04:29.220 - 00:04:31.720] 買家就可以直接評價尋盤
[00:04:31.720 - 00:04:32.520] 還有一種是
[00:04:32.520 - 00:04:33.920] 買家發送的尋盤
[00:04:33.920 - 00:04:34.520] 但是
[00:04:34.520 - 00:04:36.520] 供應商沒有及時回覆
[00:04:36.520 - 00:04:37.120] 這是
[00:04:37.120 - 00:04:39.120] 買家可以在發送尋盤後
[00:04:39.120 - 00:04:42.120] 48小時進行評價
[00:04:42.120 - 00:04:43.920] 所以對於供應商來說
[00:04:43.920 - 00:04:44.520] 如果
[00:04:44.520 - 00:04:45.920] 你這48小時內
[00:04:45.920 - 00:04:48.320] 一直沒有去回覆買家
[00:04:48.320 - 00:04:49.120] 其實
[00:04:49.120 - 00:04:50.320] 在想一速度
[00:04:50.320 - 00:04:51.120] 和服務上
[00:04:51.120 - 00:04:51.720] 做的
[00:04:51.720 - 00:04:53.720] 就不是非常的到位
[00:04:53.720 - 00:04:54.720] 買家很有可能
[00:04:54.720 - 00:04:57.720] 是會給我們差平的
[00:04:57.720 - 00:04:58.920] 這個規則的提出
[00:04:58.920 - 00:04:59.920] 還是希望
[00:04:59.920 - 00:05:00.920] 提升供應商的
[00:05:00.920 - 00:05:01.920] 想一速度
[00:05:01.920 - 00:05:03.920] 提升買家的體驗
[00:05:03.920 - 00:05:05.320] 關於評價規則
[00:05:05.320 - 00:05:06.920] 買家的評價為度
[00:05:06.920 - 00:05:08.320] 是有以下幾個
[00:05:08.320 - 00:05:09.520] 整體評價
[00:05:09.520 - 00:05:10.720] 想一速度
[00:05:10.720 - 00:05:11.920] 供應商服務
[00:05:11.920 - 00:05:13.120] 描述一致性
[00:05:13.120 - 00:05:14.720] 物流服務
[00:05:14.720 - 00:05:15.720] 時間統計
[00:05:15.720 - 00:05:16.200] 是
[00:05:16.200 - 00:05:18.520] 最近兩年的數據
[00:05:18.520 - 00:05:19.920] 當評價被刪除
[00:05:19.920 - 00:05:22.520] 就不參與統計了
[00:05:22.520 - 00:05:23.920] 當然有差平的時候
[00:05:23.920 - 00:05:24.920] 也是需要
[00:05:24.920 - 00:05:26.920] 買家要先提供證據
[00:05:26.920 - 00:05:28.320] 並不是買家可以
[00:05:28.320 - 00:05:29.720] 隨意的評價
[00:05:29.720 - 00:05:31.520] 買家也可以去修改
[00:05:31.520 - 00:05:32.320] 和刪除
[00:05:32.320 - 00:05:34.120] 他自己做過的評價
[00:05:34.120 - 00:05:37.100] 另外這邊
[00:05:37.100 - 00:05:37.900] 還有說一下
[00:05:37.900 - 00:05:39.700] 關於評價的分數計算
[00:05:39.700 - 00:05:40.900] 其實我們也收到
[00:05:40.900 - 00:05:42.700] 過一些供應商的資訊
[00:05:42.700 - 00:05:44.500] 買家評價的整體分數
[00:05:44.500 - 00:05:45.300] 等於
[00:05:45.300 - 00:05:47.900] 整體評價累積總分值
[00:05:47.900 - 00:05:48.700] 處理
[00:05:48.700 - 00:05:51.700] 整體評價四數成一百分百
[00:05:51.700 - 00:05:53.500] 舉個簡單例子
[00:05:53.500 - 00:05:54.500] 這家供應商
[00:05:54.500 - 00:05:58.500] 一共收到了634條五星評價
[00:05:58.500 - 00:06:00.700] 兩條四星評價
[00:06:00.700 - 00:06:01.500] 那麼
[00:06:01.500 - 00:06:03.100] 他的整體評價分數
[00:06:03.100 - 00:06:04.100] 就等於
[00:06:04.100 - 00:06:04.700] 快號
[00:06:04.700 - 00:06:06.700] 5成以634
[00:06:06.700 - 00:06:08.700] 加上4成以2
[00:06:08.700 - 00:06:11.100] 處理636
[00:06:11.100 - 00:06:13.100] 等於4.99
[00:06:13.100 - 00:06:15.300] 9.685534
[00:06:15.300 - 00:06:17.500] 保留兩位小數4.99
[00:06:17.500 - 00:06:19.300] 實際區以為小數
[00:06:19.300 - 00:06:20.300] 就是4.99
[00:06:20.300 - 00:06:21.500] 45日後
[00:06:21.500 - 00:06:22.500] 就是他的
[00:06:22.500 - 00:06:24.500] 評分5分了
[00:06:26.580 - 00:06:28.980] 以上是一些規則的介紹
[00:06:28.980 - 00:06:30.780] 商品大家對用戶評價
[00:06:30.780 - 00:06:32.180] 也有了一定的了解
[00:06:32.180 - 00:06:33.780] 也明白了用戶評價
[00:06:33.780 - 00:06:35.780] 對於買家和供應商的重要性
[00:06:35.780 - 00:06:37.980] 那很多供應商可能會問
[00:06:37.980 - 00:06:40.380] 我該如何去提升用戶評價
[00:06:40.380 - 00:06:43.180] 從而更好的去抓住買家呢
[00:06:43.180 - 00:06:44.780] 一不要做的
[00:06:44.780 - 00:06:45.780] 主動去
[00:06:45.780 - 00:06:47.580] 邀請買家作評價
[00:06:47.580 - 00:06:50.180] 我們在後台
[00:06:50.180 - 00:06:52.980] 會有專門的邀請買家評價的位置
[00:06:52.980 - 00:06:55.180] 等到我們自己的微窗廢
[00:06:55.180 - 00:06:56.980] 在商機評價管理
[00:06:56.980 - 00:06:58.780] 中可以去邀請評價
[00:06:58.980 - 00:07:00.980] 這裡都是有全線評價的買家
[00:07:00.980 - 00:07:02.180] 記最近三十天
[00:07:02.180 - 00:07:05.180] 有審判往來的海外會員買家
[00:07:05.980 - 00:07:07.420] 主持賬戶可以挑選一些
[00:07:07.420 - 00:07:08.580] 聊的不錯的買家
[00:07:08.580 - 00:07:09.780] 一件要業評價
[00:07:09.780 - 00:07:11.580] 發送的聊天窗廠口
[00:07:11.580 - 00:07:14.180] 引導買家去提交圖文好評
[00:07:16.770 - 00:07:18.970] 買家可以在哪些地方及其評價呢
[00:07:18.970 - 00:07:21.370] 我覺得供應商朋友也可以做一些了解
[00:07:21.370 - 00:07:22.970] 因為我們也會收到
[00:07:22.970 - 00:07:25.570] 不少的供應商朋友資訊這個問題
[00:07:26.370 - 00:07:29.970] 在PC班買家需要登錄到買家的微窗廢
[00:07:30.570 - 00:07:32.770] 可以在首頁的代辦市場中
[00:07:32.770 - 00:07:35.170] 直接看到評價提醒
[00:07:35.170 - 00:07:36.770] 直接點擊進入
[00:07:36.770 - 00:07:38.570] 這是最方面的一種方式
[00:07:39.170 - 00:07:40.970] 也可以通過導航南菜單
[00:07:40.970 - 00:07:44.370] 找到Buy Needs菜單下的評價入口
[00:07:44.370 - 00:07:46.370] 如我們給大家的結束
[00:07:46.370 - 00:07:54.420] 比如評價菜單後所有的評價
[00:07:55.820 - 00:07:58.820] 循環的訂單是以列表的形式呈現的
[00:07:58.820 - 00:08:01.220] 點擊右側的Post 2.0
[00:08:01.220 - 00:08:04.420] 按鈕進入單條評價頁面
[00:08:07.020 - 00:08:09.620] 買家補充評價內容上傳附件
[00:08:09.620 - 00:08:10.820] 選擇評價分數
[00:08:10.820 - 00:08:11.820] 完成評價
[00:08:11.820 - 00:08:13.020] 在評價頁面
[00:08:13.020 - 00:08:15.420] 我們也會給大家一些賺錢的提示
[00:08:15.420 - 00:08:18.420] 直到買家更好的寫一個評價
[00:08:19.620 - 00:08:20.420] 同時
[00:08:20.420 - 00:08:22.820] 已經完成的評價紀錄中
[00:08:22.820 - 00:08:25.620] 買家也是可以去修改和山主評價的
[00:08:25.620 - 00:08:29.020] 買家發佈三十天內可以修改至多三次
[00:08:30.960 - 00:08:33.760] 買家在APVD官也可以通過
[00:08:33.760 - 00:08:35.160] 買 account ratings
[00:08:35.160 - 00:08:36.960] WayThings and the Reveals
[00:08:36.960 - 00:08:38.560] 這個菜單進行查看
[00:08:38.560 - 00:08:40.760] 賺選和修改它的評價
[00:08:43.790 - 00:08:45.990] 負評專和APVD官的位置差不多
[00:08:45.990 - 00:08:47.790] 這個結束大家可以參考
[00:08:51.430 - 00:08:52.150] 另外
[00:08:52.150 - 00:08:54.430] 在循環列表演和訂單內表演
[00:08:54.430 - 00:08:55.830] 也會有評價入口
[00:08:55.830 - 00:08:58.230] 結圖是訂單內表演的評價
[00:08:58.630 - 00:09:01.230] 訂單完成後的三十天以後
[00:09:01.230 - 00:09:02.230] 買家
[00:09:02.230 - 00:09:05.430] 沒有及時評價的系統智慧給到
[00:09:05.430 - 00:09:06.630] 默人的好評
[00:09:06.630 - 00:09:08.430] 所以如果我們想要
[00:09:08.430 - 00:09:11.030] 買家有這樣的更多的好評的話
[00:09:11.030 - 00:09:13.230] 其實我們可以去通過平台的
[00:09:13.230 - 00:09:14.630] 在線下預測到
[00:09:17.050 - 00:09:17.850] 最後一部分
[00:09:17.850 - 00:09:19.050] 和大家分享一下
[00:09:19.050 - 00:09:20.650] 遇到買家差平的情況
[00:09:20.650 - 00:09:21.850] 應該怎麼處理
[00:09:23.450 - 00:09:24.050] 首先
[00:09:24.050 - 00:09:25.850] 了解買家差平的原因
[00:09:25.850 - 00:09:27.450] 如果差平原因屬是
[00:09:27.450 - 00:09:29.850] 供應商可以選擇回復評價
[00:09:29.850 - 00:09:32.450] 對差平進行補充和解釋
[00:09:32.650 - 00:09:34.450] 這裡是一個回復評價的
[00:09:34.450 - 00:09:35.250] 截圖
[00:09:35.250 - 00:09:36.450] 供應商考
[00:09:38.420 - 00:09:40.820] 一次如果遇到買家的差平
[00:09:40.820 - 00:09:42.020] 可以年系買家
[00:09:42.020 - 00:09:44.420] 進行修改或者是刪除
[00:09:44.820 - 00:09:46.620] 供應商收到買家差平以後
[00:09:46.620 - 00:09:47.820] 系統會觸發
[00:09:47.820 - 00:09:49.020] 有件提醒
[00:09:49.020 - 00:09:50.020] 建議供應商
[00:09:50.020 - 00:09:52.220] 優先年系買家解釋溝通
[00:09:52.420 - 00:09:54.220] 買家可以在沒有內修改
[00:09:54.220 - 00:09:55.220] 刪除評價
[00:09:55.220 - 00:09:57.020] 供應商不可以刪除評價
[00:09:57.620 - 00:09:59.020] 首次提交評價以後
[00:09:59.020 - 00:10:00.620] 買家三十天內可以修改
[00:10:00.620 - 00:10:02.420] 最多三十修改幾回
[00:10:03.020 - 00:10:05.420] 供應商也可以在買家評價上
[00:10:05.420 - 00:10:07.620] 進行回復解釋溝通
[00:10:07.620 - 00:10:08.620] 但注意的是
[00:10:08.620 - 00:10:09.620] 回復的內容
[00:10:09.620 - 00:10:10.620] 不要涉及到
[00:10:10.620 - 00:10:11.620] 敏感信息
[00:10:11.620 - 00:10:12.120] 比如
[00:10:12.120 - 00:10:13.420] 具體的年系方式
[00:10:13.420 - 00:10:15.020] 有件電話等等
[00:10:17.340 - 00:10:19.940] 如果確認買家是惡意的差平
[00:10:19.940 - 00:10:22.540] 供應商可以去提供三關證據
[00:10:22.540 - 00:10:24.540] 比如相關的聊天記錄
[00:10:24.540 - 00:10:26.140] 相關的訂單
[00:10:26.140 - 00:10:27.340] 發貨單等等
[00:10:27.340 - 00:10:28.740] 去給到中國知道網
[00:10:28.740 - 00:10:31.340] 中國知道網會進行介入處理
[00:10:31.740 - 00:10:33.940] 還有一點希望供應商可以注意
[00:10:33.940 - 00:10:37.140] 供應商賬戶內可以查看評價狀態
[00:10:37.540 - 00:10:40.140] 如果是展示狀態的話
[00:10:40.540 - 00:10:41.940] 會在前台展示
[00:10:42.140 - 00:10:44.940] 如果展示為公開顯示
[00:10:44.940 - 00:10:45.940] 保護期內
[00:10:45.940 - 00:10:47.540] 那是因為買家評價
[00:10:47.540 - 00:10:48.740] 是負面評價
[00:10:48.740 - 00:10:50.140] 有10天的保護期
[00:10:50.740 - 00:10:52.540] 供應商可以和買家供通
[00:10:52.540 - 00:10:53.740] 請買家修改
[00:10:53.740 - 00:10:55.140] 或者是三主評價
[00:10:55.340 - 00:10:56.340] 如果展示為
[00:10:56.340 - 00:10:58.140] 請微欧顯示
[00:10:58.140 - 00:10:59.140] 評價
[00:10:59.140 - 00:11:01.340] 一般是買家在評價中
[00:11:01.340 - 00:11:03.540] 留下了具體的採購信息
[00:11:03.540 - 00:11:06.340] 或者是他留下了自己的年系方式
[00:11:06.340 - 00:11:08.940] 那處於對於買家這些年系方式的保護
[00:11:08.940 - 00:11:10.740] 因此這一類的評價
[00:11:10.740 - 00:11:12.940] 請供應商自己在賬戶內
[00:11:12.940 - 00:11:13.740] 可以看到
[00:11:13.740 - 00:11:16.540] 不會公開到前台展示聽內展示
[00:11:18.580 - 00:11:19.180] 好的
[00:11:19.180 - 00:11:20.180] 到今天
[00:11:20.580 - 00:11:21.580] 到這裡
[00:11:21.580 - 00:11:23.580] 中國知道網的評價提醒
[00:11:23.580 - 00:11:26.380] 的課程就和大家全部分享結束了
[00:11:26.580 - 00:11:29.580] 希望大家多與要約
[00:11:29.580 - 00:11:32.180] 溝通良好的一些意向買家
[00:11:32.180 - 00:11:33.180] 進行評價
[00:11:33.180 - 00:11:34.980] 打造自己的評價提醒
[00:11:34.980 - 00:11:36.780] 為自己在平台推廣上
[00:11:36.780 - 00:11:39.180] 獲得更多的流量和轉換
[00:11:39.180 - 00:11:40.380] 謝謝大家
[00:11:40.380 - 00:11:41.180] 再見
