# 2. 咨询分配规则解读

language=zh
language_probability=1.000
model=tiny

[00:00:03.500 - 00:00:05.500] 如果知道往後會有門大家好
[00:08:20.780 - 00:08:30.780] 首條天還消息分配給第一個業務員,以此類推與缺保、美味、業務員按照順序、均衡的接收不同的消費資詰
[00:08:30.780 - 00:08:43.930] 為了有些客戶經常問的高頻問題,我們也一起來看一下,分配給同一收件人
[00:08:43.930 - 00:08:50.930] 以高選同一買家的規則,為什麼還是分配給不同的資詰物?
[00:08:50.930 - 00:09:03.930] 主要有兩個原因,第一買家使用是不同的,有相進行資詰的,我們一定要看一下有相,系統因為買家使用不同的有相,導致系統無法識別到同一的同一的買家
[00:09:03.930 - 00:09:20.990] 買家,買家的商機資詰,有個20分配,錢分配的時候是選擇了客戶負責人同步跟新的,需要我們去檢查分配的記錄
[00:09:20.990 - 00:09:30.990] 高選將主張互的新資詰自動分配給指定業務員同樣有一些問題,問題我只有AB2個業務員需要按日期分配,怎麼處理?
[00:09:30.990 - 00:09:38.990] 那負家規則選擇按日期分配,分配指高選AB2位,具有相機管理全新的資詰戶就可以了
[00:09:38.990 - 00:09:52.990] 問題按日期或者順許分配相機後,主張互自身還會收到相機嗎?不會的,相機會按照指定的規則自動分配給對應的資詰戶,這個時候主張互就不會收到相機了
[00:09:52.990 - 00:10:16.260] 問題3,展示聽的年紀人會根據資詰分配規則變動嗎?如果在設置了副家規則將主張互的新資詰自動分配給指定業務員,展示聽的顯示就會進行輪換,會根據你當時設置的規則輪換給對應的資詰戶信息
[00:10:16.260 - 00:10:26.260] 問題4,選擇按資詰,順許分配,會不會出現某個字詐戶一直收到旋盤,而另一個字詐戶一直收
[00:10:26.260 - 00:10:43.260] 一直收到TM的這種情況,不會我們前面說過,它是三條不同的線,比此是獨立的,也就是說第一個A分的旋盤,下面一個進來了TM也是給A,它們是同樣的兩條線再往下去分的
[00:10:43.260 - 00:11:13.810] 除了旋盤分配規則以外,旋盤提醒郵件也可以再次進行設置開啟或者關閉通知,勾選收到新鋸買以後,發送,郵件通知,選項以後,每當收到新的旋盤是,系統都會發送,郵件提醒通知,給到主子賬戶的郵箱,主張互時會收到所有的賬戶的旋盤提醒的
[00:11:13.810 - 00:11:26.810] 勾選此後將所有中國之大網平台發送回復的旋盤,備份之我的郵箱選項後,主子賬戶軍可以收到自己在平台上發送回復的旋盤,方便隨時查看和管理
[00:11:26.810 - 00:11:39.160] 主張互可以收到所有賬戶在平台上發送和回復的旋盤,請超送主張互備用郵箱是不發送的
[00:11:39.160 - 00:11:49.160] 關於旋盤提醒郵件是兩個獨立的,提醒他是兩個獨立的,可以根據需求去選擇,是否需要通知
[00:11:49.160 - 00:12:08.160] 如果在開啟了以上的郵件通知提醒以後,郵箱沒有辦法收到中國知道網發出的旋盤提醒郵件,需要我們去檢查,有箱的地址,有箱的儲存空間,拉機郵件等等這些常驗的問題,並且讓中國知道我的旋盤發送地址,我這列給大家列出了
[00:12:08.160 - 00:12:21.840] 將這個地址加入到我們有件的通訊路或者是百名單中,最後是有關旋盤設置的最後一種情況
[00:12:21.840 - 00:12:32.840] 當存在某些國家和地址或者特定的產品商機資訊,需要特殊處理或者是需要主張互直接借用的時候可以設置地外情況
[00:12:32.840 - 00:12:44.840] 符合地外條件的旋盤,將不參與任何資訊分配規則,包括剛剛提到的主規則和副家規則此時符合地外條件的商機,一率都是分配給主張互進行處理
[00:12:44.840 - 00:12:58.240] 那麼,上就是自動分配資訊的各項規則的詳細的解讀,大家可以結合自身的業務特點,以及需求進行合理的設置
[00:12:58.240 - 00:13:09.680] 這邊也給大家分析兩個比較特殊的場景,也是我們日常資訊中一些客戶問的比較多的一些特殊的案例
[00:13:09.680 - 00:13:21.680] 案例於公司完全有主張互負責,管理商機不想讓子彰護,主動收到商機,所有的商機、軍友主張互二十分配如何設置
[00:13:21.680 - 00:13:33.760] 方法,優雄以並限制子彰護的IPO價,可以直接關閉所有子彰護的商機管理詢獻,這種是最簡單的,但這一種子彰護就不能去IPO
[00:13:33.760 - 00:13:50.760] 如果子彰護,我仍然需要他去寶安票,可以給他開啟正常的商機管理詢獻,直接選擇按照國家和地區分配,不要給任何子彰護分配負責的國家和地區,所有的食材也是給主張互的主張互二十分配
[00:13:50.760 - 00:14:04.760] 特殊商機主張互不負責具體的業務,想安排一個子彰護作為運營專門的負責產品,其餘的子彰護作為業務跟進商機如何設置
[00:14:04.760 - 00:14:20.760] 一部建議主規則選擇國家和地區,第二部作為運營紫張互,不給其分配負責的國家和地區,作為業務的其他子彰護分配各自負責的國家和地區
[00:14:20.760 - 00:14:40.990] 則商機會按照涉持的區域自動分配給子彰護,第三部在告選,國家規則相處的情況,自動分配給指定和業務院,選擇按照日期或者自懲勝預分配則主張互相移,自動分配給負責的子彰護
[00:14:40.990 - 00:14:42.990] 上到是自动分配的部分
[00:14:42.990 - 00:14:44.990] 我们接着在网上说
[00:14:44.990 - 00:14:47.990] 我们再来说一下手动分配的功能
[00:14:47.990 - 00:14:50.510] 一个功能是土障乎
[00:14:50.510 - 00:14:52.990] 授杀核、铁码分配功能
[00:14:52.990 - 00:14:54.990] 主要的目的是为了解决
[00:14:54.990 - 00:14:56.990] 铁码商机在紫障乎内
[00:14:56.990 - 00:15:00.990] 一旦一时或者换人都没有办法在继续的问题
[00:15:00.990 - 00:15:02.990] 主障乎授杀核的路径
[00:15:02.990 - 00:15:04.990] 我们看一下登陆的
[00:15:04.990 - 00:15:08.990] 我们的WO,障乎中心,紫障乎分配全线
[00:15:08.990 - 00:15:11.990] 授杀作时天马分配按钮打开
[00:15:11.990 - 00:15:14.990] 既成功授杀核、天马分配全线
[00:15:14.990 - 00:15:16.990] 除授杀核功能外
[00:15:16.990 - 00:15:17.990] 还有两个选项框
[00:15:17.990 - 00:15:18.990] 选项音
[00:15:18.990 - 00:15:21.990] 在主障乎授杀核、授杀核、铁码、铁码、铁
[00:15:21.990 - 00:15:22.990] 如果主障乎高选的
[00:15:22.990 - 00:15:23.990] 分配时
[00:15:23.990 - 00:15:26.990] 买家对应的客户负责人跟星同步
[00:15:26.990 - 00:15:28.990] 在紫障乎分配时
[00:15:28.990 - 00:15:30.990] 对应的买家、归属
[00:15:30.990 - 00:15:31.990] 会同步转移
[00:15:31.990 - 00:15:33.990] 后续买家的星商机
[00:15:33.990 - 00:15:35.990] 将有新的业温跟进
[00:15:35.990 - 00:15:38.990] 选项、如果主障乎高选的
[00:15:38.990 - 00:15:41.990] 同步将紫障乎的天马分配
[00:15:41.990 - 00:15:42.990] 一并分配
[00:15:42.990 - 00:15:44.990] 在分配时
[00:15:44.990 - 00:15:46.990] 除了买家发送的内容以外
[00:15:46.990 - 00:15:48.990] 紫障乎的天马分配
[00:15:48.990 - 00:15:50.990] 也会一并进行分配
[00:15:50.990 - 00:15:54.940] 接下来
[00:15:54.940 - 00:15:58.940] 我们看一下被授权的紫障乎的操作业面
[00:15:58.940 - 00:16:00.940] 只有被授权过的紫障乎
[00:16:00.940 - 00:16:02.940] 业面才会有分配按钮
[00:16:02.940 - 00:16:04.940] 未被授权的紫障乎业面
[00:16:04.940 - 00:16:06.940] 不会出现分配按钮
[00:16:06.940 - 00:16:09.940] 紫障乎在分配时无法自主高选
[00:16:09.940 - 00:16:11.940] 是否更新、客户负责任
[00:16:11.940 - 00:16:13.940] 客户负责任是
[00:16:13.940 - 00:16:15.940] 是否更新是有主障乎在
[00:16:15.940 - 00:16:17.940] 授权紫障乎全现的手决定的
[00:16:17.940 - 00:16:20.940] 是否同步将紫障乎的天马回复内容一并分配
[00:16:20.940 - 00:16:23.940] 如果说主障乎在紫障乎
[00:16:23.940 - 00:16:25.940] 授权业面已经高选的
[00:16:25.940 - 00:16:26.940] 那么此之
[00:16:26.940 - 00:16:28.940] 紫障乎无法取消高选
[00:16:28.940 - 00:16:31.940] 天马回复内容会一并进行分配
[00:16:31.940 - 00:16:33.940] 如果说主障乎授权是没有高选
[00:16:33.940 - 00:16:36.940] 那么紫障乎在分配页面就可以自己去选择
[00:16:36.940 - 00:16:39.940] 是否要分配天马回复内容
[00:16:39.940 - 00:16:45.690] 我们刚刚提到了客户负责任的概念
[00:16:45.690 - 00:16:47.690] 为了方便大家去了解
[00:16:47.690 - 00:16:48.690] 去理解
[00:16:48.690 - 00:16:51.690] 我们通过几个长电的FACU来了解一下
[00:16:51.690 - 00:16:53.690] 第一个长电的问题
[00:16:53.690 - 00:16:55.690] 紫障乎在分配时可以去选择
[00:16:55.690 - 00:16:57.690] 更新客户责任吗
[00:16:57.690 - 00:17:00.690] 紫障乎在分配时无法自主的
[00:17:00.690 - 00:17:03.690] 高选是否更新客户责任
[00:17:03.690 - 00:17:07.690] 客户负责任的更新是统一有主障乎决定的
[00:17:07.690 - 00:17:10.690] 主障乎在受前紫障乎天马分配选择
[00:17:10.690 - 00:17:12.690] 需要一并决定
[00:17:12.690 - 00:17:13.690] 紫障乎分配时
[00:17:13.690 - 00:17:16.690] 每家对应的客户负责任是否统不更新
[00:17:16.690 - 00:17:18.690] 如果主障乎高选
[00:17:18.690 - 00:17:21.690] 紫障乎在分配的时候就会默认更新
[00:17:21.690 - 00:17:23.690] 如果主障乎没有高选
[00:17:23.690 - 00:17:25.690] 紫障乎在天马分配的时候
[00:17:25.690 - 00:17:27.690] 只能分配每家的根进任
[00:17:27.690 - 00:17:29.690] 负责任是没有办法调整的
[00:17:29.690 - 00:17:31.690] 常见的问题
[00:17:31.690 - 00:17:34.690] 根进任和客户负责任是什么区别
[00:17:34.690 - 00:17:36.690] 这个人是很多客户困扰的
[00:17:36.690 - 00:17:37.690] 我们来解释一下
[00:17:37.690 - 00:17:40.690] 根进任就是对应商机的接收人
[00:17:40.690 - 00:17:44.690] 根进任可回复和处理收到的商机训判
[00:17:44.690 - 00:17:46.690] 负责任的级别就更高了
[00:17:46.690 - 00:17:49.690] 负责任是对应买家的归属人
[00:17:49.690 - 00:17:52.690] 可能会影响到买家后序的
[00:17:52.690 - 00:17:53.690] 新商机的分配
[00:17:53.690 - 00:17:55.690] 简单来说
[00:17:55.690 - 00:17:58.690] 归属人的客户负责任
[00:17:58.690 - 00:18:01.690] 也就是这个买家的直接的归属人
[00:18:01.690 - 00:18:03.690] 买家所有发送的训判
[00:18:03.690 - 00:18:04.690] 其实是给到他的
[00:18:04.690 - 00:18:06.690] 他可以选择去将
[00:18:06.690 - 00:18:08.690] 部分去卷给到根进任
[00:18:08.690 - 00:18:09.690] 进任进行根进任
[00:18:09.690 - 00:18:10.690] 根进任只能看到
[00:18:10.690 - 00:18:12.690] 他分给他的这份训判
[00:18:12.690 - 00:18:16.690] 从这份训判出发去跟买家进行根进
[00:18:16.690 - 00:18:17.690] 什么情况下
[00:18:17.690 - 00:18:21.690] 客户负责任会影响买家后序的商机分配
[00:18:21.690 - 00:18:22.690] 第一种情况
[00:18:22.690 - 00:18:24.690] 客户负责任必须拥有商机
[00:18:24.690 - 00:18:25.690] 玩意旋线
[00:18:25.690 - 00:18:28.690] 才能够主动获得后序的商机分配
[00:18:28.690 - 00:18:29.690] 第二种情况
[00:18:29.690 - 00:18:31.690] 已经够选资讯分配
[00:18:31.690 - 00:18:32.690] 设置副家规则
[00:18:32.690 - 00:18:35.690] 将同意买家的新资讯分配
[00:18:35.690 - 00:18:36.690] 同意收件人
[00:18:36.690 - 00:18:37.690] 满足以上前提时
[00:18:37.690 - 00:18:39.690] 买家后序发送的商机资讯
[00:18:39.690 - 00:18:41.690] 会遵循自动分配的规则
[00:18:41.690 - 00:18:43.690] 分配给已经有的客户责任
[00:18:44.690 - 00:18:45.690] 常见问题
[00:18:45.690 - 00:18:47.690] 跟进任和客户负责任
[00:18:47.690 - 00:18:50.690] 会存在不一致的情况下
[00:18:50.690 - 00:18:51.690] 规制的情况
[00:18:51.690 - 00:18:53.690] 是会存在不一致的
[00:18:53.690 - 00:18:55.690] 根进任可以是多个
[00:18:55.690 - 00:18:59.970] 负责任只能是唯一的
[00:18:59.970 - 00:19:02.970] 这边也给大家负了一个二为马
[00:19:02.970 - 00:19:06.970] 大家可以更多的想要了解更多的一些客户负责任的
[00:19:06.970 - 00:19:08.970] 一些详细的一些说明可以通过
[00:19:08.970 - 00:19:10.970] 什么这个二为马查看
[00:19:10.970 - 00:19:12.970] 功能的具体的贵责任
[00:19:12.970 - 00:19:18.330] 第二个功能是一件的
[00:19:18.330 - 00:19:19.330] 批订分配功能
[00:19:19.330 - 00:19:22.330] 主要的目的是为了
[00:19:22.330 - 00:19:24.330] 检化供应商的分配操作练
[00:19:24.330 - 00:19:27.330] 说软操作部种强化分配提醒
[00:19:27.330 - 00:19:28.330] 主张户可以在PC端
[00:19:28.330 - 00:19:31.330] 寻盘相应业以及TM各端口
[00:19:31.330 - 00:19:32.330] 进行一件的商机分配
[00:19:32.330 - 00:19:36.330] 此张户紧支持在TM内进行分配操作
[00:19:36.330 - 00:19:37.330] 分配操作
[00:19:37.330 - 00:19:40.330] 取消援鲜的
[00:19:40.330 - 00:19:43.330] 需要用户一条手动选择的
[00:19:43.330 - 00:19:44.330] 消息功能
[00:19:44.330 - 00:19:46.330] 调整为点击分配按钮
[00:19:46.330 - 00:19:48.330] 直接选择跟进任
[00:19:48.330 - 00:19:50.330] 也就是说可以一件分配
[00:19:50.330 - 00:19:52.330] 距离当前最近一年内的
[00:19:52.330 - 00:19:54.330] 天母往来的消息
[00:19:54.330 - 00:19:56.330] 寻盘和定单
[00:19:56.330 - 00:19:57.330] 并且大分配页面
[00:19:57.330 - 00:19:58.330] 可以同时选择
[00:19:58.330 - 00:20:00.330] 是否更幸福的人
[00:20:00.330 - 00:20:03.330] 以及是否统部将天母的回分内用
[00:20:03.330 - 00:20:04.330] 一并分配出去
[00:20:04.330 - 00:20:09.270] 三个功能是
[00:20:09.270 - 00:20:11.270] 进三个月跟进人的
[00:20:11.270 - 00:20:12.270] 壮单提醒
[00:20:12.270 - 00:20:15.270] 在多个商机融合分配的场景中
[00:20:15.270 - 00:20:17.270] 增加了买家根据人的提醒外显
[00:20:17.270 - 00:20:19.270] 让要元之间能够彼此
[00:20:19.270 - 00:20:21.270] 只想跟进动态
[00:20:21.270 - 00:20:22.270] 避免
[00:20:22.270 - 00:20:24.270] 跟进时候出现同一买家
[00:20:24.270 - 00:20:25.270] 发生壮单的情况
[00:20:25.270 - 00:20:27.270] 外显跟原因提醒的
[00:20:27.270 - 00:20:28.270] 位置
[00:20:28.270 - 00:20:30.270] 主要包括天买家年线
[00:20:30.270 - 00:20:32.270] 数许盘业的年线信息
[00:20:32.270 - 00:20:35.270] 数像主动搜索天家买家
[00:20:35.270 - 00:20:36.270] 分配
[00:20:36.270 - 00:20:37.270] 使得一些选择跟进人
[00:20:37.270 - 00:20:38.270] 都会显示
[00:20:38.270 - 00:20:39.270] 最近三个月
[00:20:39.270 - 00:20:40.270] 买家有
[00:20:40.270 - 00:20:41.270] 过溝通跟进的
[00:20:41.270 - 00:20:43.270] 工商的账互提醒
[00:20:43.270 - 00:20:45.270] 也避免我们错误的一些分配
[00:20:45.270 - 00:20:47.270] 引起多个并有元
[00:20:47.270 - 00:20:50.270] 跟进同一个买家的状态情况
[00:20:50.270 - 00:20:51.270] 外显的内容主要
[00:20:51.270 - 00:20:51.870] 包括
[00:20:51.870 - 00:20:54.270] 近三个月与买家有过溝通的
[00:20:54.270 - 00:20:55.270] 工商的账互名
[00:20:55.270 - 00:20:56.270] 账互状态
[00:20:56.270 - 00:20:58.270] 比他有没有被山鼠
[00:20:58.270 - 00:20:59.270] 有没有被动节
[00:20:59.270 - 00:21:00.270] 这边的溝通
[00:21:00.270 - 00:21:03.270] 只得是线上人工的回复
[00:21:03.270 - 00:21:05.270] 过买家天买消息
[00:21:05.270 - 00:21:07.270] 或者是回复过买家的寻盘的
[00:21:07.270 - 00:21:09.270] 天买阶代和AI阶代
[00:21:09.270 - 00:21:11.270] 这一代智能的打赋
[00:21:11.270 - 00:21:14.740] 是不包含在里面的
[00:21:14.740 - 00:21:15.740] 另外
[00:21:15.740 - 00:21:17.740] 与子账互这次也同步增加了
[00:21:17.740 - 00:21:18.740] 一场的状态提醒
[00:21:18.740 - 00:21:20.740] 当子账互即将过期
[00:21:20.740 - 00:21:22.740] 或者主账互动节子账互
[00:21:22.740 - 00:21:23.740] 山鼠子账互以后
[00:21:23.740 - 00:21:25.740] 也会提醒主账互
[00:21:25.740 - 00:21:28.740] 要即使关注一场子账互的状态
[00:21:28.740 - 00:21:30.740] 在进行账互条件钱
[00:21:30.740 - 00:21:31.740] 要先确认
[00:21:32.740 - 00:21:34.740] 相关的子账互名下的商机
[00:21:34.740 - 00:21:36.740] 是否我已经把它分配
[00:21:36.740 - 00:21:37.740] 交接出去了
[00:21:40.570 - 00:21:42.570] 这后我们结合具体的一些
[00:21:42.570 - 00:21:43.570] AI场景
[00:21:43.570 - 00:21:44.570] 再大家一起来了解一下
[00:21:44.570 - 00:21:46.570] 在分配场景中
[00:21:46.570 - 00:21:48.570] 一般如何设置以及应用
[00:21:48.570 - 00:21:49.570] 我们看第一个案例
[00:21:49.570 - 00:21:51.570] 也无缘离除了
[00:21:51.570 - 00:21:53.570] 当公司也无缘离之时候
[00:21:53.570 - 00:21:55.570] 会涉及到原先也无缘
[00:21:55.570 - 00:21:57.570] 名下负责的商机交接
[00:21:57.570 - 00:21:58.570] 分配给新的也无缘
[00:21:58.570 - 00:21:59.570] 如何实现
[00:21:59.570 - 00:22:00.570] 将也无缘A
[00:22:00.570 - 00:22:02.570] 名下的沟通记录
[00:22:02.570 - 00:22:03.570] 去转交给必呢
[00:22:03.570 - 00:22:05.570] 两部第一部
[00:22:05.570 - 00:22:07.570] 主账互在子账互
[00:22:07.570 - 00:22:08.570] 授杀户
[00:22:08.570 - 00:22:09.570] 授杀顾骗面
[00:22:09.570 - 00:22:10.570] 却然子账互A
[00:22:10.570 - 00:22:11.570] 必的商机管理
[00:22:11.570 - 00:22:13.570] 以及TM分配全现
[00:22:13.570 - 00:22:14.570] 失暴
[00:22:14.570 - 00:22:15.570] 已经开启
[00:22:15.570 - 00:22:16.570] 同时要勾选
[00:22:16.570 - 00:22:18.570] 负责人同步更新
[00:22:18.570 - 00:22:19.570] 以及TM回分内容
[00:22:19.570 - 00:22:20.570] 一并分配
[00:22:20.570 - 00:22:21.570] 第二部
