# 2. 社媒账号创建指南

language=zh
language_probability=1.000
model=tiny

[00:00:11.760 - 00:00:13.040] 大家下午好
[00:03:30.640 - 00:03:32.320] 說這油箱密碼年齡
[00:03:32.320 - 00:03:33.880] 去創建它的帳戶
[00:03:33.880 - 00:03:35.760] 當然我們也可以用FestBook或者是
[00:03:35.760 - 00:03:36.720] 谷歌的帳戶
[00:03:36.720 - 00:03:38.280] 快節的燈露主策
[00:03:38.280 - 00:03:41.280] 具體的操作部罪都在這個PB上
[00:03:41.280 - 00:03:43.480] 上面大家可以參考一下
[00:03:43.480 - 00:03:45.360] 領導的這個創建過程
[00:03:45.360 - 00:03:47.400] 那種是需要選擇
[00:03:47.400 - 00:03:48.480] 國家地區的
[00:03:48.480 - 00:03:50.880] 然後還有我們的這個公司和職業
[00:03:50.880 - 00:03:54.520] 具體的操作部罪可以參考我們的這個PBT
[00:03:54.520 - 00:03:57.160] 因此的話也是可以使用FestBook的
[00:03:57.160 - 00:03:58.680] 帳戶快節燈露的
[00:03:58.680 - 00:04:01.760] 操作部罪也可以參考一下我們這個PBT
[00:04:01.760 - 00:04:03.280] 油跳舞的話
[00:04:03.280 - 00:04:05.360] 油跳舞它是骨歌啟嚇的
[00:04:05.360 - 00:04:07.680] 使用骨歌帳號就可以直接去燈露
[00:04:07.680 - 00:04:09.200] 油跳舞的帳號
[00:04:09.200 - 00:04:11.640] 骨歌帳號的創建非常容易
[00:04:11.640 - 00:04:14.960] 直接在骨歌搜索引擎裡面
[00:04:14.960 - 00:04:16.920] 去輸入骨歌帳號創建
[00:04:16.920 - 00:04:19.440] 或者是根據我們這個PBT上面提供的
[00:04:19.440 - 00:04:21.160] 骨歌創建的王職
[00:04:21.160 - 00:04:24.800] 記錄那個驗面按照它的要求直接創建就行了
[00:04:24.800 - 00:04:26.440] 上面所數的呢
[00:04:26.440 - 00:04:29.560] 就是我們個人是美帳號的操作部罪和主義
[00:04:29.560 - 00:04:30.400] 事項
[00:04:30.400 - 00:04:32.080] 當然作為外貿出口企業
[00:04:32.080 - 00:04:35.440] 我們需要創建的是一個企業的帳號
[00:04:35.440 - 00:04:37.560] 來宣傳運用我們的產品
[00:04:37.560 - 00:04:40.520] 具體的方法帶大家來一起來看一下
[00:04:40.520 - 00:04:42.800] FestBook公共主義的創建
[00:04:42.800 - 00:04:44.800] 有兩種快節的方式
[00:04:44.800 - 00:04:47.560] 一種是直接輸入我們PBT上面寫的
[00:04:47.560 - 00:04:51.080] 這個創建王職PatchesCreatment那塊
[00:04:51.080 - 00:04:53.440] 直接進入這個主義創建的頁面
[00:04:53.440 - 00:04:55.200] 另外一種就是像徒中
[00:04:55.200 - 00:04:56.880] 我們這個PBT上面寫示的
[00:04:56.880 - 00:04:59.280] 我們點擊又上角的這個小原點
[00:04:59.280 - 00:05:01.120] 選擇公共主義
[00:05:01.120 - 00:05:03.840] 可以直接進入創建公共主義的這個頁面
[00:05:03.840 - 00:05:05.840] 然後我們根據它的要求來
[00:05:05.840 - 00:05:07.680] 填寫相關的信息
[00:05:07.680 - 00:05:10.160] 我們這個公共主義的名稱的話
[00:05:10.160 - 00:05:13.120] 建議大家以公司因為名稱來命令
[00:05:13.120 - 00:05:14.400] 填寫完信息之後
[00:05:14.400 - 00:05:17.280] 點擊創建公共主義也可以完成這個操作
[00:05:17.280 - 00:05:19.320] Punches的公司主義
[00:05:19.320 - 00:05:22.280] 照號的創建的話也是推薦兩種方式
[00:05:22.280 - 00:05:25.520] 一是在我們的這個初測登錄頁面的下方
[00:05:25.520 - 00:05:27.960] 點擊直接點擊創建企業賬戶
[00:05:27.960 - 00:05:31.920] 另外一種就是在個人賬號的頁面下方
[00:05:31.920 - 00:05:34.320] 右上角它會有一個下拉的鏡頭
[00:05:34.320 - 00:05:37.000] 我們選擇轉換位企業賬號就可以了
[00:05:37.000 - 00:05:41.360] 頁英公司主義的賬號的創建
[00:05:41.360 - 00:05:45.360] 可以是我們可以先進入我們個人主義的賬號的頁面
[00:05:45.360 - 00:05:47.520] 頁機右上角的這個九個小原點
[00:05:47.520 - 00:05:51.000] 跟多然後選擇這個創建公司主義就可以了
[00:05:53.010 - 00:05:54.770] 因此公司主義的創建的話
[00:05:54.770 - 00:05:57.690] 我們可以先進入我們的這個個人頁面點擊
[00:05:57.690 - 00:05:59.370] 右上角的這個頭像
[00:05:59.370 - 00:06:00.490] 因此這一塊的話
[00:06:00.490 - 00:06:03.810] 它位置隱藏的比較深大家可以注意一下
[00:06:03.810 - 00:06:07.010] 就是我們點擊這個右上角的頭像之後
[00:06:07.010 - 00:06:09.770] 進入的這個頁面右測有一個編輯主義
[00:06:09.770 - 00:06:13.050] 點擊完之後再點擊切換位專業賬戶
[00:06:13.050 - 00:06:16.090] 去選擇我們這個比較合適的賬戶類型
[00:06:17.370 - 00:06:21.090] 成功創建賬號之後需要大家注意一下幾點
[00:06:22.090 - 00:06:24.890] 第一就是如果說我們希望能夠
[00:06:24.890 - 00:06:27.570] 就是成功的去創建賬號或者說
[00:06:27.570 - 00:06:29.730] 提升我們賬號創建的成功率
[00:06:29.730 - 00:06:31.850] 需要大家注意一下幾個方面
[00:06:31.850 - 00:06:35.330] 第一就是用真實的身份信息去注冊
[00:06:35.330 - 00:06:38.170] 用假的這個賬號信息出冊的話
[00:06:38.170 - 00:06:39.970] 一旦我們的賬號被封掉
[00:06:39.970 - 00:06:43.290] 就意味著我們這個賬號是找不回來了
[00:06:43.290 - 00:06:44.730] 因為我們去深促的時候
[00:06:44.730 - 00:06:48.290] 都是需要用我們的真實身份正類的信息去深促的
[00:06:48.290 - 00:06:52.370] 第二就是建議大家用一些通用類的國際通用類的
[00:06:52.370 - 00:06:55.530] 有像像Jmail或者是好的Mail的有講據註冊
[00:06:55.530 - 00:06:57.770] 提高我們這個註冊成功的機率
[00:06:57.770 - 00:07:01.850] 第三就是我們這個註冊的話
[00:07:01.850 - 00:07:04.010] 短時燈包括後面的燈錄
[00:07:04.010 - 00:07:07.290] 短時間的不要去更換我們的燈錄設備
[00:07:07.290 - 00:07:11.290] 比如說我一開始用電腦端燈錄的註冊的
[00:07:11.290 - 00:07:13.130] 後面我用手機端去燈錄
[00:07:13.130 - 00:07:17.850] 或者說我用同事的電腦去註冊的
[00:07:17.850 - 00:07:20.930] 後面我用換回自己的電腦去燈錄
[00:07:20.930 - 00:07:25.890] 主要的問題就是我們要避免我們的IPD值的不一致
[00:07:25.890 - 00:07:29.090] 因為如果說我們IPD值被實際上出來不一致的話
[00:07:29.090 - 00:07:33.090] 很容易就是賬號這塊會出現問題
[00:07:33.810 - 00:07:37.090] 第四的話就是我們這個賬號創建完之後
[00:07:37.090 - 00:07:40.930] 不要頻繁的家人不要頻繁的去操作
[00:07:40.930 - 00:07:43.770] 因為其實我們在去深促好用的過程當中
[00:07:43.770 - 00:07:45.930] 對方是可以選擇拒絕的
[00:07:45.930 - 00:07:50.170] FB這一塊的話它會根據我們的這個被拒絕的
[00:07:50.170 - 00:07:52.970] 這個機率或者是被拒絕的這個次數
[00:07:52.970 - 00:07:56.690] 來來來瞭解到就是一些議場的情況
[00:07:56.690 - 00:07:58.850] 有可能會叛到我們這個賬號是議場的
[00:07:58.850 - 00:08:01.690] 所以這種情況下賬號也是很容易被封掉的
[00:08:01.690 - 00:08:04.570] 如果賬號真的被封掉了
[00:08:04.570 - 00:08:07.410] 有哪些方法可以拒絕來解決
[00:08:07.410 - 00:08:12.330] 以下方法推薦給大家第一就是我們要去做提起深促
[00:08:12.330 - 00:08:15.930] 如果幾天的解封了基本上這個賬號是沒有什麼問題的
[00:08:15.930 - 00:08:18.610] 但是如果很長的一段時間內沒有解封
[00:08:18.610 - 00:08:20.770] 賬號大概率的話是要不回來了
[00:08:20.770 - 00:08:24.210] 深促的時候是需要涉及到賬產政見的
[00:08:24.210 - 00:08:26.250] 建議大家不要賬產深分證
[00:08:26.250 - 00:08:29.570] 因為我們是需要建議大家需要上傳一些
[00:08:29.570 - 00:08:33.090] 有英文類性的證件比如說我們的護照
[00:08:33.610 - 00:08:34.850] 或者是假照
[00:08:34.850 - 00:08:36.890] 如果賬號真的要不回來了
[00:08:36.890 - 00:08:39.170] 建議我們去登陸一個就是
[00:08:39.170 - 00:08:41.850] 重新登陸一個設備去重新註冊
[00:08:41.850 - 00:08:43.810] 就換一個設備去重新註冊
[00:08:43.810 - 00:08:46.450] 就避免使用同一個IP去註冊
[00:08:46.450 - 00:08:47.410] 同一個賬號
[00:08:48.410 - 00:08:51.090] 因為它一旦被識別成同一個IP
[00:08:51.090 - 00:08:53.650] 非常的大的基礎就是我們的賬號
[00:08:53.650 - 00:08:55.770] 即使很快的創建起來了
[00:08:55.770 - 00:08:57.810] 仍然會被迅速的封掉
[00:08:57.810 - 00:09:02.570] 賬號創建好了之後建議大家去晚上公司的主義賬號
[00:09:02.570 - 00:09:05.730] 各個是沒取到的話需要晚上的信息
[00:09:06.370 - 00:09:08.730] 大家簡單的首席一下
[00:09:08.730 - 00:09:11.170] 像Festful會這塊公共主義的賬號
[00:09:11.170 - 00:09:14.010] 創建成功之後我們可以先上傳一下
[00:09:14.010 - 00:09:16.650] 公司的主義的封面圖主義的頭項
[00:09:17.210 - 00:09:19.530] 封面圖的這個尺寸像電腦端的話
[00:09:19.530 - 00:09:22.010] 大概是在820項速寬
[00:09:22.010 - 00:09:24.050] 成印300億幀數高
[00:09:24.050 - 00:09:26.210] 首席項速的話大概是
[00:09:26.210 - 00:09:28.250] 首席端的這個項速要求
[00:09:28.250 - 00:09:29.610] 大概是640項速
[00:09:29.610 - 00:09:31.090] 成印360項速
[00:09:31.610 - 00:09:34.570] 主義的頭項圖電腦端的尺寸
[00:09:35.530 - 00:09:39.210] 電腦端的尺寸是17170
[00:09:39.210 - 00:09:41.770] 首席端的話是28180
[00:09:43.170 - 00:09:46.690] 主義的頭項這個地方可以上傳我們公司的 logo
[00:09:47.170 - 00:09:51.250] 像共能手機的這個尺寸要求大家了解了解就可以了
[00:09:51.250 - 00:09:54.370] 因為我們國內的話這塊用的比較少
[00:09:54.370 - 00:09:58.690] 因為這類手機基本上就是上網主要是用來打電話發展信的
[00:09:59.730 - 00:10:02.570] 主義的賬號中間的區域的話
[00:10:02.570 - 00:10:06.650] 我們點擊編輯公司主義信息
[00:10:06.650 - 00:10:10.650] 然後我們可以根據它的提示來教我們的信息
[00:10:10.650 - 00:10:12.210] 填謝完整
[00:10:13.610 - 00:10:19.330] 在編輯主義信息這塊它其實在我們FB公務主義的中間區
[00:10:19.330 - 00:10:22.130] 我們根據它的要求主義晚上就可以了
[00:10:22.130 - 00:10:24.890] 像設計的一些信息可能主要就包括
[00:10:24.890 - 00:10:29.650] 像主義民稱賬號名主義描述聯繫方式
[00:10:29.650 - 00:10:34.370] 我們的營業時間地指所受的商品等等
[00:10:34.850 - 00:10:39.810] 在公司主義的上方我們可以看到一些菜單來
[00:10:39.810 - 00:10:44.210] 比如說像電鋪、視頻、照片、之類的
[00:10:44.210 - 00:10:48.530] 這些就是我們把它叫做FB的選項卡
[00:10:48.530 - 00:10:51.010] 它是可以支持自主設置的
[00:10:51.010 - 00:10:54.970] 我們點開展開就可以編輯這個選項卡
[00:10:54.970 - 00:10:59.570] 我們選擇編輯的選項卡的模板
[00:10:59.570 - 00:11:01.770] 目前主要模板的類型
[00:11:01.770 - 00:11:05.530] 可能就像有業務類的購物類的場面
[00:11:05.530 - 00:11:07.370] 場地類的服務類的
[00:11:07.370 - 00:11:12.250] 作為外貿企業來說是推電大家使用業務模板就可以了
[00:11:12.250 - 00:11:17.370] 當然每個業務模板上面它會對應不同的菜單選項
[00:11:17.370 - 00:11:25.370] 就像我們這個圖片裡面顯示的像類似於像電鋪、直播、視頻、簡介、點頻等等
[00:11:25.370 - 00:11:27.930] 下面的點頻一旦開啟的話
[00:11:27.930 - 00:11:31.730] 因為我們可以很多用戶
[00:11:31.730 - 00:11:36.890] 可以公開的對這個公司的公共主義也去做Review評論
[00:11:37.610 - 00:11:41.610] 臨音公司的主義上面會出現導航
[00:11:41.610 - 00:11:44.570] 去引導我們去創建這個晚上賬號
[00:11:44.570 - 00:11:46.610] 另外還有一種晚上的方法
[00:11:46.610 - 00:11:54.970] 就是說在這個晚上主義信息的這個封面圖下面點擊這個封面圖下面的編輯主義
[00:11:54.970 - 00:11:57.530] 就可以對這個主義信息進行晚上了
[00:11:57.530 - 00:12:01.770] 推特的話推特賬號的話也是在封面圖的下方有一個
[00:12:01.770 - 00:12:03.370] Edith Profi的按鈕
[00:12:03.370 - 00:12:08.650] 我們點擊後就可以按照它的提示對公司的信息做詳細的一些晚上
[00:12:08.650 - 00:12:15.690] 來主義的信息的晚上的話電腦端主要是點擊這個公司主義
[00:12:15.690 - 00:12:18.170] 左上角有一個小千比的標實
[00:12:18.330 - 00:12:23.810] 手機端的話就是需要點擊這個左上角有一個設置標實
[00:12:23.810 - 00:12:25.850] 這個標誌去晚上信息
[00:12:26.490 - 00:12:32.410] 因此手機端的話直接點擊我們上方的編輯主義信息的按鈕就可以了
[00:12:32.410 - 00:12:38.090] 有跳舞主義信息的晚上操作按鈕會買的比較深帶帶帶來看一下
[00:12:38.090 - 00:12:40.970] 就是我們需要先點擊這個YouTube的頭像
[00:12:40.970 - 00:12:43.250] 然後再點擊你的頻道
[00:12:43.330 - 00:12:45.250] 然後點擊資料的頻道
[00:12:45.250 - 00:12:51.570] YouTube的這個很符持村的要求大概是在2048成1152像素
[00:12:51.570 - 00:12:54.770] 然後像天這個是就可以了 六岸幣內
[00:12:54.770 - 00:12:59.810] 但是頭像的話大概是大約九十八成九八像素六岸幣內二四
[00:12:59.810 - 00:13:01.490] 三幣內就可以了
[00:13:01.490 - 00:13:06.610] 主要設計的編輯信息主要是這樣有頻道的名稱
[00:13:06.610 - 00:13:10.370] 我們這個頻道的王職鏈接連信信息等等
