# 11.订单退款纠纷处理流程

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:04.040] 大家好,欢迎来到中国制造网教育系列课程
[00:03:48.800 - 00:03:52.240] 需假方货或者退货不仅绝对情况
[00:03:52.240 - 00:03:56.720] 以及后再支两个数量商存在于也得不否情况是
[00:03:56.720 - 00:04:00.360] 将是为委屈需要按照便排的在现交易货
[00:04:00.360 - 00:04:03.440] 就分出理规犯接受相反的出发
[00:04:03.440 - 00:04:05.440] 出发规则一般包括
[00:04:05.440 - 00:04:09.120] 便排将关闭为规定的并退款定板降
[00:04:09.120 - 00:04:12.800] 根据为规则对官方的商存以关闭交易服务
[00:04:12.800 - 00:04:14.720] 限制平台现心仅仅是
[00:04:14.720 - 00:04:17.920] 动机或建制申请及苏放过货贫意
[00:04:17.920 - 00:04:19.760] 限制提限能处发
[00:04:19.760 - 00:04:24.400] 具体的规则可以参考在现交易货一周翻出理规则
[00:04:24.400 - 00:04:28.800] 以上就是关于退款定单处理流程的相关介绍
[00:04:28.800 - 00:04:31.920] 如果你有其他问题也欢迎随时联系我们
[00:04:31.920 - 00:04:33.360] 感谢您的支持
