# 5. 打造品牌展示厅

language=zh
language_probability=1.000
model=tiny

[00:00:02.610 - 00:00:08.770] 大家好 歡迎大家來到MIC商家境接班 我是本資課程獎勢的一條原因
[00:00:08.770 - 00:00:18.450] 本節課程的主題是打造品牌展示聽 課程將會為了者新版課新化展示聽的功能亮點和具體操作展開
[00:00:18.450 - 00:00:24.810] 希望大家通過Pro版課新化展示聽的設計裡面以及具體的相關設置
[00:02:06.240 - 00:02:09.920] 我們需要結合隔離且優秀的展示聽設計
[00:02:09.920 - 00:02:15.600] 讓買家能夠充分吸收到我們的產品量點和企業的專業度
[00:02:15.600 - 00:02:19.080] 更進一步的去突出我們的品牌形象
[00:02:19.080 - 00:02:20.880] 凸顯公司的實力
[00:02:20.880 - 00:02:25.080] 這些都能幫助我們實現商機的精準轉化
[00:02:25.080 - 00:02:26.560] 其實說到底
[00:02:26.560 - 00:02:31.720] 就是要清晰明料的突出我們公於商的產品力和商家力
[00:02:31.720 - 00:02:33.880] 這個其實也比較容易理解
[00:02:33.880 - 00:02:37.440] 買家只有對產品展示和公司展示
[00:02:37.440 - 00:02:39.240] 都比較買一核任可
[00:02:39.240 - 00:02:42.040] 才能給我們主動連續下旬盤
[00:02:42.040 - 00:02:45.600] 進一步轉化成我們的訂單和商機
[00:02:45.600 - 00:02:47.840] 那這邊稍微總結一下
[00:02:47.840 - 00:02:52.440] 好的展示聽應該要主要包含一下以下幾個要素
[00:02:52.440 - 00:02:55.280] 公於商的能力相關包含生產啊
[00:02:55.280 - 00:02:56.640] 貿易能力等等
[00:02:56.640 - 00:03:01.080] 產品相關的展示也就是展開分組等等
[00:03:01.080 - 00:03:04.080] 更進一步的去突出品牌的實力
[00:03:04.080 - 00:03:06.800] 還有就是服務能力相關的展示
[00:03:06.800 - 00:03:08.360] 比如相關認證啊
[00:03:08.360 - 00:03:10.240] 自主研發能力等等
[00:03:10.240 - 00:03:14.520] 那我們接下來要介紹到的
[00:03:14.520 - 00:03:16.040] 中國製造網的新版
[00:03:16.040 - 00:03:19.400] Pro展示聽也是結合內容營銷
[00:03:19.400 - 00:03:21.280] 設計營銷和品牌營銷
[00:03:21.280 - 00:03:22.800] 這幾個重要的方面
[00:03:22.800 - 00:03:25.480] 通過提供更多功能委度
[00:03:25.480 - 00:03:27.920] 來幫助我們的會員朋友全方位
[00:03:27.920 - 00:03:29.040] 一銷買家
[00:03:29.040 - 00:03:32.160] 從好處境商機的有效轉化
[00:03:33.440 - 00:03:35.640] 好前面我們已經大概介紹了
[00:03:35.640 - 00:03:38.960] 為什麼中國製造網要做新版的Pro展示聽
[00:03:38.960 - 00:03:41.960] 接下來我們就一起來看具體看一下
[00:03:41.960 - 00:03:43.200] Pro版展示聽
[00:03:43.200 - 00:03:46.000] 各型化展示聽的功能量給有內心
[00:03:46.000 - 00:03:49.800] 首先是區塊可以自由的組合
[00:03:49.800 - 00:03:52.400] 多種類區塊包含產品
[00:03:52.400 - 00:03:56.200] 圖文公司等可以自由的組合提高
[00:03:56.200 - 00:03:59.520] 內容營銷可根據不同需求以及重點
[00:03:59.520 - 00:04:02.400] 圖顯公司或者圖顯產品
[00:04:03.400 - 00:04:06.400] 另外還可以各型化的設計展示
[00:04:06.400 - 00:04:09.120] 多樣化的去呈現自由配置
[00:04:09.120 - 00:04:11.520] 提升設計方面的一個營銷裡
[00:04:11.520 - 00:04:13.560] 讓買家而木一星
[00:04:14.040 - 00:04:17.040] 還有就是我們新版的Pro展示聽
[00:04:17.040 - 00:04:20.200] 可提供多端多中端的一個快速想應
[00:04:20.200 - 00:04:22.560] 可以在電腦端一動端
[00:04:22.960 - 00:04:25.600] 都同步展示且快速想應
[00:04:25.600 - 00:04:29.440] 隨著網絡平台推廣了一個成熟話
[00:04:29.440 - 00:04:32.080] 越來越多的供應商對於展示的需求
[00:04:32.080 - 00:04:33.960] 也在不斷提升和變化
[00:04:33.960 - 00:04:35.560] 這些功能和量減
[00:04:35.560 - 00:04:38.680] 都能幫助我們實現展示聽展示方面的
[00:04:38.680 - 00:04:40.480] 各型化和專業化
[00:04:42.120 - 00:04:44.760] 接下來我們就具體看一下
[00:04:44.760 - 00:04:47.120] Pro版展示聽的具體操作
[00:04:47.120 - 00:04:49.720] 有哪些功能可以幫助我們快速
[00:04:49.720 - 00:04:51.880] 打造出各型化展示聽
[00:04:51.880 - 00:04:54.160] 首先具體操作位置
[00:04:54.160 - 00:04:55.560] 還是在展示聽
[00:04:55.560 - 00:04:57.160] 管理展示聽驗面
[00:04:57.160 - 00:05:02.710] 可以新建版本或者去編輯
[00:05:02.710 - 00:05:05.230] 第一步點擊新建版本後
[00:05:05.230 - 00:05:07.110] 可以選擇主題
[00:05:07.110 - 00:05:08.870] 有兩個通用主題
[00:05:08.870 - 00:05:10.870] 以及空白葉可以選擇
[00:05:10.870 - 00:05:14.190] 您可以選擇我們給出的通用主題
[00:05:14.190 - 00:05:19.070] 按照具體的這個模塊和天家下產品
[00:05:19.070 - 00:05:21.110] 以及公司具體的信息
[00:05:21.110 - 00:05:23.270] 當然您也可以選擇空白葉
[00:05:23.270 - 00:05:25.110] 根據您各型化的需求
[00:05:25.110 - 00:05:27.430] 自行顯充相關的板塊
[00:05:28.670 - 00:05:31.110] 第二步就是進入具體的
[00:05:31.110 - 00:05:32.670] 展示聽編輯驗面了
[00:05:32.670 - 00:05:35.430] 優先在宴面板塊編輯
[00:05:35.430 - 00:05:37.390] 修改主題的名稱
[00:05:37.390 - 00:05:40.230] 設置整體宴面的背景顏色
[00:05:40.230 - 00:05:41.550] 以及背景圖
[00:05:41.550 - 00:05:43.870] 其中背景色可以根據
[00:05:43.870 - 00:05:46.030] 我們系統提供的時色器
[00:05:46.030 - 00:05:48.430] 去調整顏色透明度
[00:05:48.430 - 00:05:52.910] 背景圖片支持從本地上傳或者作材富旋取
[00:05:52.910 - 00:05:54.550] 上傳上來的圖片
[00:05:54.550 - 00:05:56.270] 需要通過審核之後
[00:05:56.270 - 00:05:59.310] 才能夠正常展示建議會員秘密
[00:05:59.310 - 00:06:01.270] 可以根據產品的特點
[00:06:01.270 - 00:06:02.870] 以及行業的特色
[00:06:02.870 - 00:06:05.510] 來選擇配色以及背景圖
[00:06:05.510 - 00:06:10.370] 第三步在葉頭部分
[00:06:10.370 - 00:06:14.330] 可以針對公司信息以及導航進行編輯調整
[00:06:14.330 - 00:06:18.410] 大家可以看一下PTT中的具體操作頁面
[00:06:18.410 - 00:06:20.610] 右上角的編輯圖標
[00:06:20.610 - 00:06:23.970] 可以選擇是否展示或者說
[00:06:23.970 - 00:06:26.090] 隱藏公司信息以及努力性
[00:06:26.090 - 00:06:28.450] 上上傳或者修改努力
[00:06:28.450 - 00:06:32.010] 同時也可以設置背景顏色以及背景圖
[00:06:32.010 - 00:06:34.130] 導航配色自動同步
[00:06:34.130 - 00:06:35.810] 原導航的一個配色
[00:06:35.810 - 00:06:40.050] 或者說根據時色器進行調整顏色和透明度都可以
[00:06:40.050 - 00:06:44.090] 接下來就是最重要的
[00:06:44.090 - 00:06:47.050] 展示聽相關的公司以及產品信息的
[00:06:47.050 - 00:06:51.770] 是區塊設置了目前區塊設置可以分為產品
[00:06:51.770 - 00:06:54.970] 圖文視頻公司自打區塊
[00:06:54.970 - 00:06:57.690] 需要手動脫轉對應的區塊
[00:06:57.690 - 00:06:59.970] 到右側的展示聽顏面
[00:06:59.970 - 00:07:05.250] 才可以認為是天下成功進行後續的具體操作
[00:07:05.250 - 00:07:09.450] 各區塊之間也可調整上下的順許也可以刪除
[00:07:09.450 - 00:07:11.250] 接下來我們一一看一下
[00:07:11.250 - 00:07:13.650] 每個區塊的具體設置情況
[00:07:13.650 - 00:07:15.410] 可以根據不同的設置
[00:07:15.410 - 00:07:18.690] 突出公司信息或者說產品信息
[00:07:18.690 - 00:07:22.580] 首先是產品區塊
[00:07:22.580 - 00:07:25.140] 包含雙排產品主打產品
[00:07:25.140 - 00:07:25.860] 抱貧
[00:07:25.860 - 00:07:27.780] 單內目多類目產品
[00:07:27.780 - 00:07:29.620] 除了多類目產品之外
[00:07:29.620 - 00:07:33.900] 其他幾個類目都可以分別最多天下十組
[00:07:33.900 - 00:07:37.300] 多類目產品最多只能天下一組
[00:07:37.300 - 00:07:39.340] 手動脫轉對應的區塊
[00:07:39.340 - 00:07:41.820] 到右側的展示聽顏面後
[00:07:41.820 - 00:07:45.740] 即可在相應板塊去天家設置具體的產品
[00:07:45.740 - 00:07:48.540] 同時對應區塊的標題
[00:07:48.540 - 00:07:50.620] 也是可以進行修改的
[00:07:50.620 - 00:07:53.980] 標題的名稱標題的字號
[00:07:53.980 - 00:07:56.540] 可以提供選擇我們系統提供的
[00:07:56.540 - 00:07:59.260] 大中小三個字號
[00:07:59.260 - 00:08:03.100] 修改自己的顏色有黑色白色和導航色
[00:08:03.100 - 00:08:04.940] 右側的邊際按鈕
[00:08:04.940 - 00:08:07.100] 可以調整上下邊距
[00:08:07.100 - 00:08:09.460] 選擇隱藏或者顯示
[00:08:09.460 - 00:08:12.780] 我們標題顯示我們的這個
[00:08:12.780 - 00:08:14.580] Villmode按鈕
[00:08:14.580 - 00:08:17.220] 設置背景顏色背景圖
[00:08:17.220 - 00:08:19.500] 在雙排產品的區塊下貓
[00:08:19.500 - 00:08:23.020] 還可以調整我們的行數
[00:08:23.020 - 00:08:25.300] 具體區塊的功能顯示
[00:08:25.300 - 00:08:27.940] 不完全相同Villmode按鈕
[00:08:27.940 - 00:08:29.700] 可以添加戰略的鏈接
[00:08:29.700 - 00:08:32.540] 修改自己顏色等道都是可以的
[00:08:32.540 - 00:08:35.180] 好
[00:08:35.180 - 00:08:36.740] 我們也來重點看一下
[00:08:36.740 - 00:08:38.460] 出現產品的情況下
[00:08:38.460 - 00:08:41.180] 各個產品類目板塊的大開設置
[00:08:41.180 - 00:08:42.860] 首先是雙排產品
[00:08:42.860 - 00:08:45.820] 雙排產品也是非固定展示的
[00:08:45.820 - 00:08:47.820] 需要在我們的後台設置
[00:08:47.820 - 00:08:50.540] 可以根據我們自行進行邊編輯
[00:08:50.540 - 00:08:52.500] 最多可以展示十足
[00:08:52.500 - 00:08:55.020] 每組根據後台設置展示的
[00:08:55.020 - 00:08:57.900] 航數最多是4號14個
[00:08:57.900 - 00:08:58.980] 兩行8個
[00:08:58.980 - 00:09:01.340] 以紫類推4行16個產品
[00:09:01.340 - 00:09:04.420] 也就是每組最多4行16個產品
[00:09:04.420 - 00:09:06.380] 產品展示的信息包含
[00:09:06.380 - 00:09:08.500] 圖片名稱
[00:09:08.700 - 00:09:11.860] 交易信息對有動途或者視頻的產品
[00:09:11.860 - 00:09:16.010] 也會加上相關的標實
[00:09:16.010 - 00:09:17.890] 然後是主大產品
[00:09:17.890 - 00:09:20.970] 這邊的主大產品指的是您公司的主推的
[00:09:20.970 - 00:09:22.010] 招牌產品
[00:09:22.010 - 00:09:24.570] 跟後台我們的主大產品資源
[00:09:24.570 - 00:09:26.410] 這個概念需要區分開來
[00:09:26.410 - 00:09:28.770] 同樣也是非固定展示的
[00:09:28.770 - 00:09:31.090] 需要在後台編輯顏面去設置
[00:09:31.090 - 00:09:33.130] 最多可以添加10個
[00:09:33.130 - 00:09:34.170] 而10組
[00:09:34.170 - 00:09:38.050] 每組最多7個產品展示的信息
[00:09:38.050 - 00:09:41.290] 左側的是大圖包含圖
[00:09:41.290 - 00:09:43.090] 產品圖產品名稱
[00:09:43.090 - 00:09:44.170] 價格起金料
[00:09:44.170 - 00:09:48.490] 右側的是小圖產品圖FOB的價格
[00:09:48.490 - 00:09:49.810] 大家可以看看
[00:09:49.810 - 00:09:55.560] 下我們的顏面請看
[00:09:55.560 - 00:09:57.560] 接下來是抱款產品
[00:09:57.560 - 00:10:00.240] 抱款產品是非固定展示的
[00:10:00.240 - 00:10:03.320] 需要在這個板示下
[00:10:03.320 - 00:10:04.640] 去進行設置
[00:10:04.640 - 00:10:06.600] 最多也可以展示十足
[00:10:06.600 - 00:10:08.720] 每組最多三個產品
[00:10:09.200 - 00:10:12.760] 展示的信息包含產品圖名稱
[00:10:12.760 - 00:10:14.160] 價格起金料
[00:10:14.160 - 00:10:16.280] 可能價格的耐嘴
[00:10:16.280 - 00:10:17.480] 這個按鈕
[00:10:18.200 - 00:10:21.480] 還有就是單類木和多類木產品
[00:10:21.480 - 00:10:22.480] 單類木
[00:10:22.480 - 00:10:24.760] 需要在後台也是同樣進行
[00:10:24.760 - 00:10:26.280] 去設置有需要的話
[00:10:26.280 - 00:10:27.880] 最多可以添加10組
[00:10:27.880 - 00:10:29.880] 每組最多四個產品
[00:10:29.880 - 00:10:32.720] 產品的展示信息包含圖片
[00:10:32.720 - 00:10:33.560] 名稱
[00:10:33.560 - 00:10:36.360] 主標選符則顯示產品的全身
[00:10:36.360 - 00:10:38.240] FOB的價格起金料
[00:10:38.240 - 00:10:40.280] 以及肯加的耐嘴的按鈕
[00:10:40.280 - 00:10:42.360] 類木名稱也是可以修改的
[00:10:42.360 - 00:10:42.960] 同樣
[00:10:42.960 - 00:10:44.160] Villmo這個按鈕
[00:10:44.160 - 00:10:46.760] 也可以選擇展示或者隱藏
[00:10:46.760 - 00:10:47.880] 如果展示的話
[00:10:47.880 - 00:10:49.720] 可以添加戰內的鏈接
[00:10:49.720 - 00:10:51.080] 方便買加點擊
[00:10:52.040 - 00:10:53.400] 多類木這一塊
[00:10:53.400 - 00:10:56.600] 也是需要在後台進行設置
[00:10:56.600 - 00:10:57.320] 最多
[00:10:57.320 - 00:10:58.480] 值得展示一組
[00:10:58.480 - 00:11:00.320] 跟上面是有區別的
[00:11:00.320 - 00:11:03.280] 每個多類木下面
[00:11:03.280 - 00:11:05.880] 最多是可以添加5個類木
[00:11:05.880 - 00:11:08.720] 可以自行去定義類木的名稱
[00:11:08.720 - 00:11:10.360] 每個類木下最多
[00:11:10.360 - 00:11:12.880] 8個產品展示的信息包含
[00:11:12.880 - 00:11:15.880] 產品的圖片和OFOB的價格
[00:11:15.880 - 00:11:19.890] 產品這一塊的話
[00:11:19.890 - 00:11:20.730] 會根據
[00:11:20.730 - 00:11:23.010] 版式選擇的不同展示的信息
[00:11:23.010 - 00:11:24.210] 也略有差別
[00:11:24.210 - 00:11:26.570] 大家可以自行選擇
[00:11:26.570 - 00:11:29.330] 以上就是
[00:11:29.330 - 00:11:31.450] 關於產品區塊的相關
[00:11:31.450 - 00:11:32.730] 版式以及配置
[00:11:32.730 - 00:11:34.810] 下面再看一下圖文版款
[00:11:34.810 - 00:11:35.810] 圖文版款
[00:11:35.810 - 00:11:37.370] 風味海報和圖文
[00:11:37.370 - 00:11:39.730] 分別可以最多展示十組
[00:11:39.730 - 00:11:40.930] 圖片可以選擇
[00:11:40.930 - 00:11:42.730] 本地上傳或者素材
[00:11:42.730 - 00:11:44.090] 庫裡面去選
[00:11:44.090 - 00:11:46.010] 可以添加超鏈接
[00:11:46.010 - 00:11:52.300] 圖文的主覆標題
[00:11:52.300 - 00:11:55.300] 也是可以進行修改文字道
[00:11:55.300 - 00:11:58.260] 流木按鈕可以添加戰內的超鏈接
[00:11:58.260 - 00:12:00.260] 圖文匹區塊的同樣
[00:12:00.260 - 00:12:03.140] 也可以修改標題的名稱
[00:12:03.140 - 00:12:04.780] 或者標題的字號
[00:12:04.780 - 00:12:05.740] 有大中小
[00:12:05.740 - 00:12:07.780] 之後修改自己的顏色
[00:12:07.780 - 00:12:10.140] 推色白色或者導航色
[00:12:10.420 - 00:12:13.220] 海報版款可以理解為
[00:12:14.220 - 00:12:16.500] 是我們原來的結合很符
[00:12:16.500 - 00:12:18.540] 非固定展示需要的話
[00:12:18.540 - 00:12:20.380] 可以在後台進行邊境
[00:12:20.380 - 00:12:22.220] 最多可以展示十組
[00:12:22.220 - 00:12:25.060] 每組最多展示三張海報
[00:12:25.060 - 00:12:26.980] 海報可以自動的去輪波
[00:12:26.980 - 00:12:28.500] 也可以手動的切換
[00:12:28.500 - 00:12:29.980] 也是需要通過
[00:12:29.980 - 00:12:31.500] 什麼通過的海報
[00:12:31.500 - 00:12:33.180] 才能在前來展示
[00:12:33.180 - 00:12:34.300] 海報可以選擇
[00:12:34.300 - 00:12:36.140] 寬海報或者展海報
[00:12:36.140 - 00:12:39.500] 紙寸分別是1920程以400
[00:12:39.500 - 00:12:43.020] 以及核一千200成一400的項速
[00:12:43.020 - 00:12:45.060] 關於海報班的這一塊的
[00:12:45.060 - 00:12:46.420] 一面內容設計
[00:12:46.420 - 00:12:47.900] 也簡單的做個提醒
[00:12:47.900 - 00:12:48.860] 因為考慮到
[00:12:48.860 - 00:12:50.540] 頁面在不同端口下
[00:12:50.540 - 00:12:52.220] 展示的形式和尺寸
[00:12:52.220 - 00:12:55.060] 大平和小平的刮度差距比較大
[00:12:55.060 - 00:12:57.500] 如果說1920刮的內容的話
[00:12:57.500 - 00:12:58.980] 要顯示全的話
[00:12:58.980 - 00:13:00.740] 等比縮小到小平後
[00:13:00.740 - 00:13:03.140] 就有可能兩邊的會看不見
[00:13:03.140 - 00:13:05.700] 所以左側左右兩側
[00:13:05.700 - 00:13:07.140] 背景可以延伸
[00:13:07.140 - 00:13:08.740] 但是主要內容
[00:13:08.980 - 00:13:10.580] 重要的一些文字欄
[00:13:10.580 - 00:13:11.980] 圖片宣傳等等
[00:13:11.980 - 00:13:12.820] 一定要做到
[00:13:12.820 - 00:13:14.620] 進可能靠中心的位置
[00:13:14.620 - 00:13:19.880] 圖文板塊也是非固定展示的
[00:13:19.880 - 00:13:21.560] 需要在後臺進行
[00:13:21.560 - 00:13:24.120] 編輯設置主標提和負標體
[00:13:25.120 - 00:13:26.680] 均最多兩條
[00:13:26.680 - 00:13:28.960] 緊展示省和通過的文本
[00:13:28.960 - 00:13:30.400] 對應的圖片位置
[00:13:30.400 - 00:13:31.280] 可以自行
[00:13:31.280 - 00:13:34.040] 本地上傳或者素材固選舉圖片
[00:13:34.040 - 00:13:35.280] 可以練接到展示
[00:13:35.280 - 00:13:36.360] 因相關驗面
[00:13:36.360 - 00:13:38.560] 方便買家點擊跳轉
[00:13:38.560 - 00:13:44.870] 接下來是視頻區塊
[00:13:45.070 - 00:13:47.230] 指扣天家最多一組
[00:13:47.230 - 00:13:48.510] 虛快的標題
[00:13:48.510 - 00:13:49.550] 可以修改
[00:13:49.550 - 00:13:51.710] 明川挑整字號
[00:13:51.710 - 00:13:53.510] 以及修改字體演色
[00:13:53.510 - 00:13:56.270] 視頻從素材固選舉天家
[00:13:56.270 - 00:13:57.790] 主覆標提和證文
[00:13:57.790 - 00:13:59.710] 都可以修改文本內容
[00:13:59.710 - 00:14:02.510] 建議此板塊優先展示公司視頻
[00:14:02.510 - 00:14:03.830] 以及具體介紹
[00:14:03.830 - 00:14:06.830] 圖片公司的一些資質實力
[00:14:06.830 - 00:14:08.750] 公司視頻建議比例
[00:14:08.750 - 00:14:09.910] 是16比9
[00:14:09.910 - 00:14:11.470] 優質的公司視頻
[00:14:11.470 - 00:14:14.070] 更容易獲取買家的一個信任
[00:14:14.070 - 00:14:18.790] 除了視頻外
[00:14:18.790 - 00:14:20.310] 還有公司區塊
[00:14:20.310 - 00:14:24.070] 也能展示公司的一些實力情況
[00:14:24.070 - 00:14:26.110] 公司區塊包含了
[00:14:26.110 - 00:14:27.670] 3地時間展聽
[00:14:27.670 - 00:14:31.110] 全景3600多於賺點
[00:14:31.110 - 00:14:33.270] 公司介紹快節選盤
[00:14:33.270 - 00:14:36.990] 這幾個區塊都是最多值可天家一組的
[00:14:36.990 - 00:14:38.590] 全景3600板塊
[00:14:38.590 - 00:14:40.830] 素材固有全景啟用的
[00:14:40.830 - 00:14:42.150] 可以自動帶入
[00:14:42.150 - 00:14:44.710] 全景編輯需要制素材固
[00:14:44.710 - 00:14:46.390] 全景編輯的位置
[00:14:46.390 - 00:14:49.350] 主張號以及有管理全部產品
[00:14:49.350 - 00:14:52.990] 的資張號都可以進行全景編輯設置
[00:14:52.990 - 00:14:54.550] 我們也建議對全景
[00:14:54.550 - 00:14:56.390] 設置和理的出實場景
[00:14:56.390 - 00:14:57.790] 以及熱點信息
[00:14:57.790 - 00:14:59.230] 讓買家跳轉到
[00:14:59.230 - 00:15:01.550] 我們想讓買家看到的位置
[00:15:01.550 - 00:15:03.270] 多於賺點這一塊
[00:15:03.270 - 00:15:05.350] 也是非固定展示
[00:15:05.350 - 00:15:08.670] 如果有需要可以直接拖鑽天家
[00:15:08.670 - 00:15:11.470] 天家後點基對應的語言
[00:15:11.470 - 00:15:13.830] 就可以自動跳轉到對應的
[00:15:13.830 - 00:15:16.830] 我們的展示定多於的顏面
[00:15:16.830 - 00:15:18.310] 公司介紹板塊
[00:15:18.310 - 00:15:20.630] 公司是平因公司實際廚公司
[00:15:20.630 - 00:15:24.070] 資質統一挑戰到公司業中進行編輯
[00:15:24.070 - 00:15:25.470] 公司實際廚的話
[00:15:25.470 - 00:15:27.910] 建議清晰美觀不要拚圖
[00:15:27.910 - 00:15:31.190] 比例的話建議是3.2
[00:15:31.190 - 00:15:34.470] 快節選盤的貿認在最底端展示
[00:15:34.470 - 00:15:36.350] 這邊是不可以去山主
[00:15:36.350 - 00:15:38.550] 也不可以去挑戰位置的
[00:15:38.550 - 00:15:45.130] 最後一步就是我們設置完成後
[00:15:45.130 - 00:15:46.090] 可以通過
[00:15:46.090 - 00:15:47.850] 顏面右上角的查看和
[00:15:47.850 - 00:15:50.050] 預覽按鈕進行查看和
[00:15:50.050 - 00:15:52.370] 預覽展示題目前的情況
[00:15:52.370 - 00:15:57.600] 在管理展示題面內容
[00:15:57.600 - 00:15:58.880] 簽策覽目中
[00:15:58.880 - 00:16:00.200] 您還可以查看
[00:16:00.200 - 00:16:01.400] 展示題個板塊的
[00:16:01.400 - 00:16:03.560] 完善程度以及省和狀態
[00:16:03.560 - 00:16:05.400] 信息省和通過之後
[00:16:05.400 - 00:16:08.120] 可以在管理展示題面
[00:16:08.120 - 00:16:10.400] 以創建板塊右策
[00:16:10.400 - 00:16:11.840] 操作處點擊
[00:16:11.840 - 00:16:12.800] 發布按鈕
[00:16:12.800 - 00:16:15.560] 即可展示您的新板
[00:16:15.560 - 00:16:17.440] 個新化展示題的顏面
[00:16:20.700 - 00:16:22.740] 最後我們也給大家來看一下
[00:16:22.740 - 00:16:25.500] 我們Pro版展示題的相關案例
[00:16:25.500 - 00:16:27.780] 結合資深的材優勢
[00:16:27.780 - 00:16:29.660] 以及產品的一些特點
[00:16:29.660 - 00:16:32.580] 可以充分出現材資質
[00:16:32.580 - 00:16:35.180] 大背景的圖影造
[00:16:35.180 - 00:16:36.220] 這個氛圍感
[00:16:36.220 - 00:16:37.260] 恆複的圖片
[00:16:37.260 - 00:16:40.380] 金美的高清的去設置
[00:16:40.380 - 00:16:42.660] 3.6圈景張显實力
[00:16:42.660 - 00:16:44.300] 包括我們Fact Street View
[00:16:44.300 - 00:16:46.420] 也就是我們的公司信息
[00:16:46.420 - 00:16:48.020] 全面呈現
[00:16:48.740 - 00:16:50.220] 關於出現產品信息
[00:16:50.220 - 00:16:52.100] 這一塊可以利用
[00:16:52.100 - 00:16:53.780] 我們多版式的展臺
[00:16:53.780 - 00:16:54.980] 去進行呈現
[00:16:54.980 - 00:16:58.260] 爆款、主打、雙排產品圖
[00:16:58.260 - 00:16:59.900] 圖文、多類物
[00:17:01.100 - 00:17:03.860] 版塊分布羅計清晰及可
[00:17:03.860 - 00:17:07.260] 展臺產品可以做到整齊化醫
[00:17:08.020 - 00:17:08.980] 我們來看一下
[00:17:08.980 - 00:17:11.220] 這家是您博士新朝自動化
[00:17:11.220 - 00:17:12.460] 人間有信公司
[00:17:12.460 - 00:17:14.100] 包括我們這家
[00:17:14.100 - 00:17:16.740] 這家普天集成房屋有信公司
[00:17:16.740 - 00:17:19.460] 這臉都是我們的MK一個科護
[00:17:19.460 - 00:17:21.700] 目前Pro版展是聽是
[00:17:21.700 - 00:17:23.540] 暫時開放給中國製造網
[00:17:23.540 - 00:17:25.740] MK科護優先體驗到
[00:17:25.740 - 00:17:27.340] 後續會逐步
[00:17:27.340 - 00:17:28.540] 全員開放
[00:17:28.540 - 00:17:30.540] 大家到時候也可以結合著
[00:17:30.540 - 00:17:33.540] 今天講到的一些內容
[00:17:33.540 - 00:17:36.100] 設置重點去設置
[00:17:36.100 - 00:17:37.140] 也進行期待
[00:17:37.140 - 00:17:39.260] 我們的新版展示廳
[00:17:39.260 - 00:17:40.860] 今天的課程分享
[00:17:40.860 - 00:17:43.020] 主要就到這結束了
[00:17:43.020 - 00:17:44.980] 感謝我們會員朋友的收聽
[00:17:44.980 - 00:17:46.740] 與祝大家收護滿滿
[00:17:46.740 - 00:17:47.740] 頂待多多
