# 4. 询盘回复实用工具

language=zh
language_probability=1.000
model=tiny

[00:00:03.020 - 00:00:07.060] 大家好 欢迎大家来到MIC商家境接班
[00:00:07.060 - 00:00:11.060] 我是来自中国知道网绝海域经理游戏家
[00:08:34.440 - 00:08:37.080] 同时这个网纸也可以帮助我们去
[00:08:37.080 - 00:08:38.600] 去设认买家的信息
[00:08:38.600 - 00:08:40.120] 是不是真实的
[00:08:40.120 - 00:08:41.680] 那打开户机之后呢
[00:08:41.680 - 00:08:44.040] 我们可以把特负的网纸移民
[00:08:44.040 - 00:08:46.880] 收到右上角的这个苏苏慌中
[00:08:47.880 - 00:08:49.440] 好得到一个结果
[00:08:49.440 - 00:08:52.240] 可以看到这个网站的处测时间
[00:08:52.240 - 00:08:56.320] 否在地址以及电话有相伸的信息
[00:08:56.320 - 00:09:01.800] 另外我们还可以通过国外的这集机构
[00:09:01.800 - 00:09:03.960] 或者一些信用公司网站
[00:09:03.960 - 00:09:06.360] 来查询买家的自信情况
[00:09:06.360 - 00:09:09.560] 这边也列出了几个国家的查询网站
[00:09:09.560 - 00:09:11.560] 接下来我们来取一些例子
[00:09:11.560 - 00:09:14.400] 去及看看怎么去用这些网站的
[00:09:15.400 - 00:09:18.160] 首先来看一个英国官方的公司
[00:09:18.160 - 00:09:19.840] 组写信息查询网站
[00:09:19.840 - 00:09:21.840] 这个是不需要翻译到
[00:09:21.840 - 00:09:23.560] 我们在书入买家公司
[00:09:23.560 - 00:09:24.480] 名称之后呢
[00:09:24.480 - 00:09:27.760] 就可以去查看到买家给公司状态
[00:09:27.760 - 00:09:29.040] 成立时间
[00:09:29.040 - 00:09:31.040] 公司地址就接信息
[00:09:31.040 - 00:09:35.530] 这个是印度工商部门的网站
[00:09:35.530 - 00:09:37.050] 是需要翻译的
[00:09:37.050 - 00:09:38.850] 比如我在中国知道网上
[00:09:38.850 - 00:09:41.010] 收到一个印度买家循判
[00:09:41.010 - 00:09:43.250] 地址先简进这个放大进来
[00:09:43.250 - 00:09:46.730] 进行交易书入买家留着公司名称
[00:09:46.730 - 00:09:48.730] 查到买家的CINN号
[00:09:48.730 - 00:09:50.930] 然后将这个话买书进去
[00:09:50.930 - 00:09:54.250] 在前加验证买就可以查看结果了
[00:09:55.250 - 00:09:58.050] 我们可以去看到买家的触车帝者
[00:09:58.050 - 00:09:59.210] 公司帝者
[00:09:59.210 - 00:10:04.450] 由乡公司状态的这些信息
[00:10:04.450 - 00:10:07.010] 这个是澳大利亚的工商局网站
[00:10:07.010 - 00:10:08.250] 不需要翻译
[00:10:08.250 - 00:10:10.250] 我们在书入买家公司名称
[00:10:10.250 - 00:10:13.850] 就可以去查询到买家的企业注册情况
[00:10:13.850 - 00:10:17.130] 比如说这次时间公司类行等等
[00:10:17.130 - 00:10:24.670] 这个网站就是澳洲最大的信息
[00:10:24.670 - 00:10:25.630] 行用机构
[00:10:25.630 - 00:10:28.310] 快点纯奉比较分工资
[00:10:28.310 - 00:10:32.910] 通过公司名称可以查询到买家工商部司的信息
[00:10:32.910 - 00:10:36.830] 点摩托英主要能可以去查到具体的信息
[00:10:36.830 - 00:10:40.390] 国内访问的话是需要去信息翻译的
[00:10:41.390 - 00:10:43.990] 比如说我们可以去看到公司的帝者
[00:10:43.990 - 00:10:47.390] 官网公司典阶人人属之架后等的
[00:10:47.390 - 00:10:50.830] 但一些女子的信息是需要去信息之后
[00:10:50.830 - 00:10:53.730] 最有的
[00:10:53.730 - 00:10:57.050] 这个是巴西社务局网站
[00:10:57.050 - 00:10:58.530] 也是需要去翻译的
[00:10:58.530 - 00:11:01.210] 我们可以去通过买家公司名称在谷歌上
[00:11:01.210 - 00:11:02.330] 进行播伙
[00:11:02.330 - 00:11:05.930] 可以查到巴西公司税号CMPJ
[00:11:05.930 - 00:11:08.450] 然后信息一个谷歌人经验证
[00:11:08.450 - 00:11:11.130] 就是典一下图片里赚圈的地方
[00:11:11.130 - 00:11:14.010] 接着税号就可以查询了
[00:11:15.010 - 00:11:17.570] 可以看到这家公司的记指
[00:11:17.570 - 00:11:20.370] 由相电话运状态的信息
[00:11:20.370 - 00:11:24.020] 好 那对于买家
[00:11:24.020 - 00:11:26.020] 越了解其实我们的爆价呢
[00:11:26.020 - 00:11:27.220] 就会越精準
[00:11:27.220 - 00:11:27.860] 加来呢
[00:11:27.860 - 00:11:29.140] 我们再来看一下
[00:11:29.140 - 00:11:30.980] 正式回复训判的环节
[00:11:30.980 - 00:11:33.420] 有哪些工具和注意事件
[00:11:33.420 - 00:11:39.000] 那很多人朋友都遇到过买家过回复的情况
[00:11:39.000 - 00:11:40.240] 但其实很多时候
[00:11:40.240 - 00:11:43.280] 可能买家根本就没有输到我的训判
[00:11:43.280 - 00:11:46.560] 也就是买家有相可能还平日有没有的有限
[00:11:46.560 - 00:11:47.200] 很有时候呢
[00:11:47.200 - 00:11:49.080] 也可能是进入它的纳帜箱
[00:11:49.080 - 00:11:51.960] 可能说有热脸有相传没进去
[00:11:51.960 - 00:11:54.200] 就被他的词器给屏利了
[00:11:54.200 - 00:11:55.600] 那有一些措施呢
[00:11:55.600 - 00:11:59.160] 是有注意去检少这种被屏利的风险的
[00:11:59.160 - 00:12:02.120] 首先我们再解有间标几的时候
[00:12:02.120 - 00:12:04.600] 一定要去避免一些情况
[00:12:04.600 - 00:12:08.120] 比如说避免用大姐进入前鞋
[00:12:08.120 - 00:12:10.360] 避免去用这种标击型符号
[00:12:10.360 - 00:12:12.040] 尤其是感叹号
[00:12:12.040 - 00:12:13.800] 你要避免货币符号
[00:12:13.800 - 00:12:15.560] 或者是过多的数字
[00:12:15.560 - 00:12:17.120] 那在证文当中呢
[00:12:17.120 - 00:12:19.560] 避免出现只有很少的文字星期
[00:12:19.560 - 00:12:21.920] 却还有图片或者练接
[00:12:21.920 - 00:12:25.920] 也不要再暂时兼练出去发送这种大量的游件
[00:12:27.040 - 00:12:31.120] 那这个网站就列出了一些经常会被游凶几
[00:12:31.120 - 00:12:33.160] 使别为拉机有件的字
[00:12:33.160 - 00:12:35.200] 那我们可以去进行查找
[00:12:35.200 - 00:12:38.600] 再回复游件的时候要挺圣幸是用
[00:12:38.600 - 00:12:42.480] 好很多时候买家家过回复
[00:12:42.480 - 00:12:45.840] 是因为我们的游件根本没有到达买的游凶
[00:12:45.840 - 00:12:48.200] 这个比例接着来讲还是比较高的
[00:12:48.200 - 00:12:51.440] 进来来进行的去查一下我们自己游凶
[00:12:51.440 - 00:12:54.600] 有没有被主流的服务器进行体制
[00:12:54.600 - 00:12:56.560] 那查去办法逼不呢
[00:12:56.560 - 00:13:00.560] 我们现在要去查找到自己游凶行体的IP
[00:13:00.560 - 00:13:04.040] 好第二步
[00:13:04.040 - 00:13:06.800] 可以使用这个查拉机有件的网站
[00:13:06.800 - 00:13:08.400] 来查行体的游凶
[00:13:08.400 - 00:13:10.960] 有没有被主流有将呼吸体制
[00:13:10.960 - 00:13:12.840] 那如果出现了红色的案子
[00:13:12.840 - 00:13:15.080] 就说明是被停机了的
[00:13:15.080 - 00:13:19.220] 那如果真的被停机了怎么办呢
[00:13:19.220 - 00:13:22.940] 也是建议可以首先联系系的游件服务商
[00:13:22.940 - 00:13:26.420] 通常我们可能买的叫网易啊层性
[00:13:26.420 - 00:13:30.060] 好的那就是企业游凶是需要去宣传IT制
[00:13:30.060 - 00:13:32.140] 然后我们先通过
[00:13:32.140 - 00:13:35.380] 中国就要网了平台来进行现场回复
[00:13:35.380 - 00:13:39.700] 或者我们也去宣传乱一个新的游凶来进行回复
[00:13:39.700 - 00:13:42.780] 那对我也是建议要加在回复游凶
[00:13:42.780 - 00:13:44.820] 回复这个循盘的时候
[00:13:44.820 - 00:13:48.100] 游凶和发开发现的游凶不要重复
[00:13:48.100 - 00:13:49.860] 因为本身发开发性呢
[00:13:49.860 - 00:13:51.460] 它的料还是比较大的
[00:13:51.460 - 00:13:54.380] 要容易能使这个游凶被停机
[00:13:55.380 - 00:13:58.580] 那这也是给大家推荐一些免费的游凶
[00:13:58.580 - 00:14:01.340] 我们做外贸的少不了要发开发性
[00:14:01.340 - 00:14:04.820] 所以能要准备不同的游凶来进行发送
[00:14:04.820 - 00:14:10.720] 大家也可以去使用这个检测游凶游凶消息的小工具
[00:14:10.720 - 00:14:13.240] 那使用方法呢也是很简单的
[00:14:13.240 - 00:14:15.720] 把游凶书入到速度复复复复复复复
[00:14:15.720 - 00:14:19.520] 比如说我书入MICMETING TRY的刀刀刀
[00:14:19.520 - 00:14:23.720] 然后点击LARIFIE没有闹进行验证
[00:14:23.720 - 00:14:26.440] 加来就可以看到检测结果了
[00:14:26.440 - 00:14:30.240] 那第一行呢是我的METING TRYS
[00:14:30.240 - 00:14:31.560] TAC is correct
[00:14:31.560 - 00:14:33.880] 那就是说它的格式是正确的
[00:14:33.880 - 00:14:36.240] 好的第二行呢就告诉你
[00:14:36.240 - 00:14:38.720] 这个是中国知道我们有将书气
[00:14:38.720 - 00:14:41.000] 它这个游凶书气呢是正确的
[00:14:41.000 - 00:14:43.320] 那第三行呢就是说它说
[00:14:43.320 - 00:14:44.400] It's not that it
[00:14:44.400 - 00:14:47.120] 它意思就是这个游凶继是不可用的
[00:14:47.120 - 00:14:48.120] 是错误的
[00:14:48.840 - 00:14:50.760] 那买家游凶座的原因
[00:14:50.760 - 00:14:53.240] 有可能是它自己书的时候写错了
[00:14:53.240 - 00:14:54.960] 那游凶能就它不想去
[00:14:54.960 - 00:14:56.360] 游真实的信心
[00:14:56.360 - 00:14:59.240] 好像先试着了解一下这个情况
[00:14:59.240 - 00:15:01.480] 好的或者是它是一个炸片分子
[00:15:01.480 - 00:15:03.240] 然后上号呢被风了
[00:15:03.240 - 00:15:04.280] 写都有可能
[00:15:04.280 - 00:15:14.520] 但我们有时候可以去通过买家的公司
[00:15:14.520 - 00:15:16.080] 名称或者官网去
[00:15:16.080 - 00:15:17.920] 猜测买家的游凶
[00:15:17.920 - 00:15:22.360] 然后用这个工具来验证我们的猜测对不对
[00:15:22.360 - 00:15:23.440] 比如说
[00:15:23.440 - 00:15:25.960] 我知道了这一家公司是叫
[00:15:25.960 - 00:15:27.280] Mason Friend
[00:15:27.280 - 00:15:28.680] 越其公司
[00:15:28.680 - 00:15:30.480] 但是我不知道游凶
[00:15:30.480 - 00:15:32.280] 那我可以猜测一个
[00:15:32.280 - 00:15:34.400] 一般採购者它的游凶会用
[00:15:34.400 - 00:15:35.480] 不能游凶
[00:15:35.480 - 00:15:37.360] 那採购不门是Purcher
[00:15:37.360 - 00:15:39.120] 或者是客人的信名
[00:15:39.120 - 00:15:40.640] 我们可以假设长事用
[00:15:40.640 - 00:15:41.880] 不能游凶继续做
[00:15:41.880 - 00:15:43.600] 看看是否可用
[00:15:43.600 - 00:15:45.720] 比如我在这里呢去书书
[00:15:45.720 - 00:15:47.120] 潜测也是Purcher
[00:15:47.120 - 00:15:48.480] 就採购不能可能
[00:15:48.480 - 00:15:50.680] 会去用的一个关键子
[00:15:50.680 - 00:15:53.640] 登上它的企业的后随
[00:15:53.640 - 00:15:55.720] 我们有Ration Friend 到Comp
[00:15:55.720 - 00:15:57.720] 到8件呢是可以用的
[00:15:57.720 - 00:16:01.880] 我也可以去给游减去发送游凶开发信
[00:16:03.160 - 00:16:06.240] 那如果发现买家游凶是错的怎么办呢
[00:16:06.240 - 00:16:08.600] 如果游凶显测工具告诉我们
[00:16:08.600 - 00:16:10.400] 这个服器就是错的
[00:16:10.400 - 00:16:12.160] 我们可以先检查看看
[00:16:12.160 - 00:16:14.040] 游凶明显的书解错误
[00:16:14.040 - 00:16:15.880] 比如说买家在前游凶
[00:16:15.880 - 00:16:17.400] 什么比较初心
[00:16:17.400 - 00:16:20.400] 把Comp解成了CM或者漏油
[00:16:20.600 - 00:16:24.680] 那一般有结公司会用公司名称去做游凶显民
[00:16:24.680 - 00:16:26.960] 那么可以看看有没有拼解错误
[00:16:26.960 - 00:16:28.440] 如果没有拼解错误
[00:16:28.440 - 00:16:30.360] 那也可能是它的游凶行器
[00:16:30.360 - 00:16:31.280] 除了问题
[00:16:31.280 - 00:16:32.400] 然后没有区费
[00:16:32.400 - 00:16:33.840] 三名服务了
[00:16:33.840 - 00:16:35.840] 或者是买家是有问题的
[00:16:35.840 - 00:16:37.640] 这个服器被宋弊了
[00:16:37.640 - 00:16:38.760] 那么可以用
[00:16:38.760 - 00:16:40.160] 作作引擎来搜搜
[00:16:40.160 - 00:16:41.880] 有没有其他的联系方式
[00:16:41.880 - 00:16:43.680] 或者是游凶
[00:16:43.680 - 00:16:47.480] 同时我们可以在后台前去进行一个回复
[00:16:47.480 - 00:16:50.360] 以防万云
[00:16:50.360 - 00:16:52.680] 好我们在了解了在回复循犯前
[00:16:52.680 - 00:16:54.800] 可能会用到的几个工具之后
[00:16:54.800 - 00:16:55.800] 我们再来看一下
[00:16:55.800 - 00:16:58.400] 如何去跟进多云种的循犯
[00:16:58.400 - 00:17:00.040] 这个其实也是很多外贸人
[00:17:00.040 - 00:17:02.440] 会遇到的一些问题的情况
[00:17:02.440 - 00:17:03.560] 那中国知道网了
[00:17:03.560 - 00:17:05.720] 一共有10个多云网站
[00:17:05.720 - 00:17:09.320] 共一山会员上传了所有的英文产品之后
[00:17:09.320 - 00:17:11.080] 都会被恐怖到
[00:17:11.080 - 00:17:13.320] 另外10个多云网站中
[00:17:13.320 - 00:17:14.920] 所以因此我们会发现
[00:17:14.920 - 00:17:18.000] 在实验商里面有一些循犯标几旁边
[00:17:18.000 - 00:17:20.360] 会标注俄予站法予站
[00:17:20.360 - 00:17:21.960] 那这种循犯就是买家
[00:17:21.960 - 00:17:24.240] 他通过多予站法来的循犯
[00:17:25.240 - 00:17:25.560] 好的
[00:17:25.560 - 00:17:27.840] 如果标几旁边是国际站的话
[00:17:27.840 - 00:17:30.360] 就是证明他是从英文站过来的
[00:17:30.360 - 00:17:31.200] 如果我们遇到了
[00:17:31.200 - 00:17:32.600] 看不懂得多云循犯
[00:17:32.600 - 00:17:33.800] 要几般呢
[00:17:33.800 - 00:17:36.960] 首先我们在平台上会针对多云循犯
[00:17:36.960 - 00:17:39.080] 提供谷则三亿工具
[00:17:39.080 - 00:17:42.160] 只要典一十用谷则三亿该循犯
[00:17:42.160 - 00:17:43.360] 那就会自动的
[00:17:43.360 - 00:17:45.440] 造成到谷则三亿的变面
[00:17:45.440 - 00:17:46.960] 将这个循犯内容
[00:17:46.960 - 00:17:48.720] 自动有最运的多云
[00:17:48.720 - 00:17:50.200] 转化为英文
[00:17:50.200 - 00:17:52.240] 而是不需要去进行翻译场的
[00:17:53.240 - 00:17:56.360] 除了本身自带的谷则三亿工具之外
[00:17:56.360 - 00:17:58.560] 我们还会有一些开的三亿工具
[00:17:58.560 - 00:17:59.920] 其中给大家
[00:17:59.920 - 00:18:01.960] 比如说像我临柔
[00:18:01.960 - 00:18:03.520] 这个三亿网真的好处
[00:18:03.520 - 00:18:06.320] 就是可以去上传文道进行三亿
[00:18:06.320 - 00:18:08.320] 或者可以直接输入网址
[00:18:08.320 - 00:18:09.600] 可以三亿网业
[00:18:09.600 - 00:18:13.000] 以及几公三亿定发送有限的工人
[00:18:13.000 - 00:18:15.280] 那这个三亿进行
